,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2016-06-30,0.00918511414509971,0.8429697113693754,-0.16679128619045497,0.16928370331929127,0.29358156407165986,-0.06099516871143225,0.41058638465533714,0.010767758939937677,0.41703632245881617,0.5224246513573839,0.13754662854895813,0.8111819781473356,0.8681717603012317,3.3056512829450693,-0.8557348728709224,0.6688415802406682,1.6500216337248788,-0.2469287538190079,3.9091465147303808,0.04323965659211385,0.5280575687997935
2016-09-30,0.02148073464522543,0.6932698120663062,-0.04201296228283807,0.45293218557612286,0.24223888688385692,-0.3150896516788651,0.04480710939882257,0.008716371519622202,0.7849127073164249,0.06679654254891988,0.10571229342230301,0.15955337626345287,2.4392670571678705,3.60201595477379,-0.2836119072816003,2.1681773971191034,1.8567650333986476,-1.5737120454508118,8.671683775431678,0.00654756022245398,0.7617081658327647
2016-12-31,0.020124051575024723,0.7052638906668584,-0.056009654248571586,0.44098825390273505,0.251789312777659,-0.29836977350023547,0.052449178282776926,0.00591811921639942,0.6848891702451247,0.06643368536355772,0.07720359269907262,0.14378354914071642,2.332129627917035,3.897472137397759,-0.4231407647031488,2.171866668068824,2.0701154522386678,-1.645881990137163,7.656889998189559,0.0093032511033053,0.7350083747865159
2017-03-31,0.028286578946962133,0.6861224195521715,0.02207726600055457,0.31654844712521524,0.32530640382096104,-0.059845629987003435,0.03072318977266482,0.007018068054871072,0.8772541010101722,0.1852201141060246,0.04214369509608319,0.8139539506299135,2.810815408528347,4.0125434948745475,0.16116379141773757,1.496267990554354,2.5733667820583257,-0.24590193969204904,8.584361459278881,0.010477729617255972,0.7751513975484158
2017-06-30,0.021936914370577938,0.6198638113651425,-0.017365547199990373,0.26389319900722147,0.27766542787212434,-0.08555411302922317,0.042673762419222175,0.014353817462128838,0.8927498854982988,0.4227399582430149,0.10582324022230533,0.7930712632501976,2.4725419647914957,3.2349102068290088,-0.1398072958682082,0.8513499592642302,1.856050400313076,-0.2725400837717125,4.892456725581501,0.03034360696159392,0.6185909407619787
2017-09-30,0.021301141346974525,0.5499222052047079,-0.06209746804244615,0.11845234849246883,0.19869333050338503,0.03840902794674564,0.03185372019787252,0.008592233893316112,0.6076642511220126,0.6807867457197141,0.11178034258916135,0.8985863103742444,2.673153958050499,3.612788162146971,-0.5373681160210412,0.4290433423773024,1.8187055465023958,0.13214692981233345,10.7057785757064,0.003544509456533711,0.8017475716253175
2017-12-31,0.017741218457921665,0.657867382493627,-0.15932503602786952,0.02724556133663421,0.10831188916429332,0.054339477548237244,0.08756528791242593,0.004937485415860383,0.2401394848953529,0.9362694443648801,0.39426734368454086,0.8804704721390547,1.9847590552300058,4.039261614111518,-1.2835920782059695,0.08287706251071633,0.9075857372756494,0.15595535943555064,7.813643023715528,0.008791410687710674,0.7395167151774276
2018-03-31,0.020404493736021517,0.6307758500397176,-0.16125826813148775,0.022336894662667445,0.07765508024867791,0.04940091066809943,0.047202054277094875,0.0028183763770445614,0.20524259473045278,0.9407369739919883,0.5176980917305694,0.8696632583942023,2.403797837021857,4.494044516359797,-1.396515900884224,0.07705370795871459,0.6810996951186535,0.1702056682905888,8.23676016156734,0.007579093711215657,0.7509536441955343
2018-06-30,0.02052742867059141,0.6053868493176082,-0.1373794720861084,0.0023679094095289677,0.07811606353484765,0.0720000097596068,0.06471746377655196,0.01134254901119584,0.3722171124030609,0.9942609858096407,0.545676455203493,0.8282676047232522,2.258093068619282,3.601757720303656,-0.964123144324576,0.007497498691085235,0.6402358223334079,0.2265864454727388,6.755704105014225,0.018816793379621933,0.7234688506560456
2018-09-30,0.019300848109098535,0.7186619632299183,-0.23490011278619582,0.06755073556987234,0.0760535067161242,-0.047554995708131764,0.06349779570544643,0.010153677239801609,0.21677976844227975,0.8214522472274005,0.4992414951264428,0.8801877144274648,2.2719464497492994,3.694558090782537,-1.380083810401107,0.23577070141032355,0.7188807084607479,-0.15727435816005628,7.9016785663336275,0.012869173511598275,0.7582863442203263
