,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2017-03-31,-4.524452556004586,-0.06605416179543024,38.0,0.8701766831772313,0.013506272548609678,0.014747846133223391,254626481741.07425,9047221.95,9400000.0,4.0
2017-04-03,-4.168308020982601,-0.05947964536395328,41.0,1.27268352415581,0.013226937937244708,0.015349726732383063,1893972577753.011,9108721.42,9400000.0,4.0
2017-04-04,-3.527443282731551,-0.04787929653439882,42.0,1.5554678807998519,0.013215753753166913,0.01388104894309999,3722387567495.16,9194758.02,9400000.0,4.0
2017-04-05,-4.102305227596298,-0.05667640310189913,43.0,2.3103223693717867,0.013069986860975104,0.013487170534956605,7291093386357.1875,9131210.14,9400000.0,4.0
2017-04-06,-5.252571240371883,-0.07383444008980186,44.0,1.5898363729113132,0.013044587516704,0.014678647924113204,14174106463208.924,8991355.09,9400000.0,4.0
2017-04-07,-4.696028940636463,-0.06558603272785743,45.0,1.9219369061884641,0.013016640018421066,0.013414925965955624,27666775749272.273,9066535.38,9400000.0,4.0
2017-04-10,-5.0528474653343975,-0.07245120357733743,48.0,1.6111488014953532,0.012811283613050327,0.013482430116734612,205410487228321.94,9035547.33,9400000.0,4.0
2017-04-11,-5.297156344958779,-0.07569083254867394,49.0,1.9113012276262336,0.012677431598946269,0.013492288173798536,399855073972814.7,9015969.42,9400000.0,4.0
2017-04-12,-6.6474443019294425,-0.10502989733248554,50.0,0.6087063443166562,0.012740163357982573,0.013343032421609545,771407686070701.4,8850278.02,9400000.0,4.0
2017-04-13,-7.747506702374471,-0.12080637990436059,51.0,0.5304902125634803,0.012716551334987239,0.013094643766003026,1477681718449561.2,8720240.33,9400000.0,4.0
2017-04-17,-6.774350111938422,-0.09848529721092958,55.0,-0.2661163906777253,0.012741952807792018,0.014034007321641648,2.0028844247381308e+16,8841937.1,9400000.0,4.0
2017-04-18,-6.771486532008424,-0.09767972306582551,56.0,0.11526480785082328,0.012641957518371315,0.014110666429593306,3.864478171771305e+16,8852546.68,9400000.0,4.0
2017-04-19,-6.364680010963329,-0.09380111755282577,57.0,1.8600188021854405,0.012596799778132078,0.012877277272861256,7.47917734270144e+16,8908826.26,9400000.0,4.0
2017-04-20,-4.509644219507799,-0.07084522990370917,58.0,3.7845828110709543,0.012988611704430907,0.013260653250081356,1.4642155261132288e+17,9121766.68,9400000.0,4.0
2017-04-24,-3.9594460236723013,-0.06691770041605871,62.0,3.4150637933270165,0.013847966441515683,0.014188344029763137,2.1554729478340541e+18,9161861.82,9400000.0,4.0
2017-04-25,-3.713324086058428,-0.06498809302446697,63.0,2.619998274886947,0.013755646298149904,0.01426678154964392,4.23798874061359e+18,9202056.77,9400000.0,4.0
2017-04-26,-3.798514646967335,-0.06461489940357615,64.0,3.0152872505757986,0.01364660825978978,0.01427995859546728,8.330979782053576e+18,9198567.48,9400000.0,4.0
2017-04-27,-3.4829587021795487,-0.05794465193979405,65.0,3.909973211350899,0.013564480443845516,0.014116324080776435,1.641926479348828e+19,9346972.68,9500000.0,4.0
2017-04-28,-2.7823441399917828,-0.0457437524742043,66.0,3.8474807710025654,0.013537005320678927,0.013174176879147754,3.252717271062412e+19,9444870.57,9500000.0,4.0
2017-05-02,-1.6762219087056365,-0.02727895152903642,70.0,3.6429234435601257,0.013495625850371371,0.013367684583665902,5.0495779198862505e+20,9596466.06,9500000.0,4.0
2017-05-03,-2.0567604172904157,-0.03325614800702443,71.0,4.000657053973238,0.01340865160601598,0.01333954521957762,1.0059485850676081e+21,9701801.3,9650000.0,4.0
2017-05-04,-3.0806648479336776,-0.051319049353657574,72.0,4.375713502309041,0.013405708716926593,0.013375631052133774,1.9903275199793382e+21,9568948.25,9650000.0,4.0
2017-05-05,-1.2232536373491727,-0.020912655483690933,73.0,6.012623164165006,0.013672422263504881,0.01330190349408145,3.9887096963992807e+21,9818196.31,9650000.0,4.0
2017-05-08,-1.1290497395850319,-0.01963116243522072,76.0,6.478479242095168,0.014049157467432771,0.013686559621793059,3.212451150308095e+22,9830854.81,9650000.0,4.0
2017-05-09,0.19855102107499087,0.0033575692362189597,77.0,7.551575797663606,0.014121438835719662,0.013707345549498384,6.504641120578907e+22,10021346.23,9650000.0,4.0
2017-05-10,0.9565740023065311,0.017047150291837263,78.0,7.1273514407384475,0.014077899117732304,0.013812020913758024,1.324433980686806e+23,10131991.87,9650000.0,4.0
2017-05-11,0.0050649216952586016,8.471405367765624e-05,79.0,4.963553536740139,0.014071753003536303,0.013670835880545658,2.6791484954740546e+23,10002191.52,9650000.0,4.0
2017-05-12,0.2278317304298411,0.004169192824539924,80.0,4.329695775712247,0.013985980250524171,0.01369891837083456,5.4291971729877855e+23,10037401.13,9650000.0,4.0
2017-05-15,0.7366652268478913,0.013386309015203046,83.0,4.9558224887078834,0.013753189854810435,0.013815908051706113,4.5348238235302754e+24,10490921.95,10030000.0,4.0
2017-05-16,1.69523523047941,0.027523663753072056,84.0,6.00978087370865,0.013738509894943627,0.013935640778315177,9.286704721961917e+24,10631773.91,10030000.0,4.0
2017-05-17,0.42038047228107006,0.006666376849391521,85.0,6.051719543465701,0.013791075733713095,0.013869613757687865,1.8855444808988872e+25,10454270.09,10030000.0,4.0
2017-05-18,-4.828831450545849,-0.09173187019920385,86.0,6.523486569675855,0.016520721789264902,0.0186956096715568,3.6638520134267157e+25,9569090.49,10030000.0,4.0
2017-05-19,-2.367755157750584,-0.04647327881738133,87.0,9.029444542737302,0.017069363989435225,0.018803322357350605,7.268516695887731e+25,9982229.59,10030000.0,4.0
2017-05-22,-3.4156042007978593,-0.07133355277785328,90.0,8.458329236939527,0.018107236979519787,0.019157301560025042,5.613319219113672e+26,9763295.37,10030000.0,4.0
2017-05-23,-2.1314825877410906,-0.042801105796517074,91.0,9.50229030905395,0.018181123341256322,0.019125259008291047,1.1149952639047343e+27,10007523.73,10030000.0,4.0
2017-05-24,-1.866386390200493,-0.03654971499266861,92.0,9.132173734387546,0.01808651938313512,0.018948386115095407,2.2209094488825965e+27,10063498.84,10030000.0,4.0
2017-05-25,-1.7965936886612062,-0.036329205653827,93.0,9.433622236508434,0.017988044251528675,0.01895243963196508,4.427880025882116e+27,10082454.57,10030000.0,4.0
2017-05-26,-1.5133003089876664,-0.03090329851326974,94.0,8.761336231875873,0.0178969819790534,0.01898510756128428,8.853490763250967e+27,10140934.04,10030000.0,4.0
2017-05-29,-1.3653518331559684,-0.02838337552311924,97.0,9.753054872598712,0.017627564394043282,0.01906291938259003,7.0896926917338654e+28,10176316.35,10030000.0,4.0
2017-05-30,-1.3024575028458674,-0.026877928345223557,98.0,9.807328691718508,0.017536471292387782,0.019063937124119343,1.4212177339074806e+29,10193062.71,10030000.0,4.0
2017-05-31,-1.9524023874465244,-0.040536521777613424,99.0,10.487641482882736,0.017493365974508544,0.01886168298881173,2.8330284276342275e+29,10078976.56,10030000.0,4.0
2017-06-01,-2.318675279815822,-0.04783986498180394,100.0,10.661028946342164,0.017420733251707125,0.018643613422389915,5.6302048805167436e+29,10017734.15,10030000.0,4.0
2017-06-02,-2.5534965170343007,-0.05337863743327924,101.0,9.85419957053988,0.01734045355608495,0.018623231154004345,1.1168780428685029e+30,9981009.3,10030000.0,4.0
2017-06-05,-2.6134403402911204,-0.05385954685482817,104.0,10.001490218797379,0.017099929681694413,0.018200570265935533,8.718472227592698e+30,9980545.22,10030000.0,4.0
2017-06-06,-2.600424477972995,-0.053237468037712635,105.0,9.317603537112165,0.01701754574731224,0.01801932808166962,1.7301861318338297e+31,9988930.84,10030000.0,4.0
2017-06-07,-1.8746235115733025,-0.03767920170862357,106.0,10.66263113029632,0.016978008059331938,0.0179233563465978,3.4563625573071347e+31,10122620.49,10030000.0,4.0
2017-06-08,-2.085288389308333,-0.04210826479481035,107.0,11.285392310535276,0.016903103408514822,0.017735958625495877,6.893851646870095e+31,10090730.48,10030000.0,4.0
2017-06-09,-2.3768570073497246,-0.04792681351934424,108.0,12.042881394672872,0.016833087127480707,0.017717358628246634,1.3718840609639604e+32,10044784.51,10030000.0,4.0
2017-06-12,-2.5209283941064773,-0.051199261266175335,111.0,12.843611319971659,0.016621408891143132,0.017188211549598514,1.0802907532579605e+33,10028835.49,10030000.0,4.0
2017-06-13,-2.6405925055529456,-0.0540448788619958,112.0,12.356569855593683,0.016548089747977755,0.01702504865868816,2.1464995924599778e+33,10733876.23,10750000.0,4.0
2017-06-14,-2.689585597846027,-0.05477368914616059,113.0,12.440826956637185,0.016474482379801935,0.016871042228569628,4.264470488136488e+33,10731097.49,10750000.0,4.0
2017-06-16,-2.414940441473891,-0.0486765336618853,115.0,13.752273191723031,0.01633509192912212,0.016746567179977315,1.6877634447713354e+34,10789777.12,10750000.0,4.0
2017-06-19,-2.4257599589092065,-0.04845325266229512,118.0,13.427721807926055,0.0161346162852907,0.016653807437606742,1.3347507625613126e+35,10797367.28,10750000.0,4.0
2017-06-20,-3.011299971858556,-0.060143689056730516,119.0,14.536148933874825,0.01609450886299001,0.016513173420483616,2.6475372669991454e+35,10696676.76,10750000.0,4.0
2017-06-21,-3.0029462869718047,-0.05989825369689108,120.0,14.911077306825963,0.01602676221946829,0.016377999258810845,5.2534237424675865e+35,10704548.39,10750000.0,4.0
2017-06-22,-3.1713056967744304,-0.06300311415095208,121.0,13.581516097028077,0.015962580689854948,0.016235299032894134,1.0412618399293655e+36,10680570.38,10750000.0,4.0
2017-06-23,-3.1641541914510025,-0.0654336489778279,122.0,14.052132118976356,0.01589650062757068,0.016106612589840894,2.06458409199714e+36,10688269.56,10750000.0,4.0
2017-06-26,-2.8439528223386605,-0.05962597132361119,125.0,12.622961031410544,0.015710269086528235,0.015885002148219394,1.6143734436079499e+37,10755582.57,10750000.0,4.0
2017-06-27,-2.928716091159873,-0.0619620039774625,126.0,13.535168179037731,0.015648163622445133,0.015758409995967147,3.209611073039437e+37,10746729.91,10750000.0,4.0
2017-06-28,-2.9776446425183707,-0.06528312050827235,127.0,13.107282713397774,0.015586329583240412,0.015636742575432794,6.3804487604721285e+37,10744261.43,10750000.0,4.0
2017-06-29,-3.249023497225749,-0.07608682784929661,128.0,12.314343138544032,0.015530793286012725,0.015510343549916657,1.2659445833473246e+38,10702716.39,10750000.0,4.0
2017-06-30,-2.415699796104523,-0.05466720110502856,129.0,12.920636523011844,0.015512922874249475,0.015573836560814411,2.5292698007572454e+38,10853140.15,10750000.0,4.0
2017-07-03,-2.1600850344463276,-0.049200162176990164,132.0,13.108221140271326,0.01541975034072968,0.015603050693227564,2.0218845255801558e+39,10904223.59,10750000.0,4.0
2017-07-04,-1.9222617473155286,-0.04362125325466842,133.0,13.798231164776043,0.015363432687191836,0.015506937284881391,4.057765748977093e+39,10950931.45,10750000.0,4.0
