,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2005-04-27,-13.771872877643755,-0.3213312325197312,57.0,0.8731163382556273,0.009821811729789607,0.010167319374152906,1.9409542396662755e+112,473655852.1,-2716638.1100000003,582.0
2005-04-28,-15.083253305649409,-0.37226348066550197,58.0,2.2336646225693824,0.009892788262273392,0.010301761143125908,1.532836066524971e+114,466349368.49,-2716638.1100000003,582.0
2005-04-29,-15.254965216987742,-0.3998894087461715,59.0,0.9162187698525803,0.009812201612945742,0.010332838179614544,1.2107182266652595e+116,466422194.18,-2716638.1100000003,582.0
2005-05-02,-15.903737336505879,-0.4071302668995296,62.0,1.0046756616303367,0.009577312318327513,0.010208609719771817,5.951977217367768e+121,465309727.57,-2716638.1100000003,582.0
2005-05-03,-15.426315679536499,-0.39902956600147166,63.0,1.9238123127486668,0.009560710802226337,0.01013742345326128,4.71978537986402e+123,468289864.16,-2716638.1100000003,582.0
2005-05-04,-13.50142709566954,-0.3456246139608352,64.0,1.1415888444003468,0.009816691037575561,0.010206080833433885,3.810096321547396e+125,476832224.92,-2716638.1100000003,582.0
2005-05-05,-13.471832467190385,-0.40282682732604397,65.0,1.7753495172287923,0.009750880479399624,0.01024931324938434,3.082016442593777e+127,477817423.93,-2716638.1100000003,582.0
2005-05-06,-13.581686067319314,-0.376150079343209,66.0,1.280853079314225,0.009679484562399534,0.010274636957136086,2.4945254526847127e+129,478100450.32,-2716638.1100000003,582.0
2005-05-09,-13.516587141330564,-0.36366281870882855,69.0,1.8347018997968705,0.009496739235366201,0.01038683043648666,1.328246552118551e+135,479946549.25,-2916638.1100000003,582.0
2005-05-10,-14.743661373337549,-0.3570326332107304,70.0,2.7378319706057663,0.009532771379116407,0.010305884731908426,1.0654535906783768e+137,473578624.63,-2916638.1100000003,582.0
2005-05-11,-16.11861140689368,-0.375032930444124,71.0,1.7203781796960362,0.009621098752682343,0.010304474234978515,8.409844939535871e+138,465800387.12,-3024693.3000000003,582.0
2005-05-12,-17.33993975012108,-0.4069837872707238,72.0,2.553102531100758,0.00966005993455638,0.01038923394476762,6.5463413685979936e+140,459281514.59,-3024693.3000000003,582.0
2005-05-13,-18.563244420244818,-0.4186859195132335,73.0,2.254330280597504,0.009702348357315675,0.010478371940589473,5.023200020952504e+142,452656203.48,-3024693.3000000003,582.0
2005-05-16,-18.04431950062972,-0.4152901513192623,76.0,0.9415563185276381,0.009754634077771983,0.010566730214842697,2.2822502706380675e+148,455205778.88,-3056250.43,580.0
2005-05-17,-17.670121625842974,-0.40258005163819577,77.0,1.3423041854863884,0.009732987767758392,0.010496626680223109,1.7708381197969035e+150,457705702.7,-3108174.98,579.0
2005-05-18,-15.66484735910267,-0.35613873384685363,78.0,1.4995198679174742,0.009981524324070139,0.010569970318674347,1.4005825116673011e+152,466163993.09,-3612236.32,578.0
2005-05-19,-16.322263982539894,-0.36977158311910807,79.0,1.0160462349884078,0.009927610289538088,0.010550550306049854,1.101158609978858e+154,463358163.13,-3612236.32,578.0
2005-05-20,-16.86128677473966,-0.3806810997217689,80.0,1.7718875072706424,0.009868288848857857,0.010390648120032157,8.619208718753868e+155,461283923.74,-3612236.32,578.0
2005-05-23,-17.6936665279019,-0.3931316787706089,83.0,2.423598206123318,0.009700412109926403,0.009945445954490161,4.1107731614368087e+161,458089294.99,-4235657.12,577.0
2005-05-24,-18.075930238655953,-0.4213905833129101,84.0,1.0268936975315468,0.009641853138094328,0.009820814579424304,3.1921185699007086e+163,456952106.14,-4235657.12,577.0
2005-05-25,-17.692030282246055,-0.3903387284398842,85.0,1.7599385038595814,0.009621738205597955,0.00989147875960641,2.492534919276063e+165,458342043.35,-5416990.65,576.0
2005-05-27,-16.51123009698242,-0.3578024512311508,87.0,0.894231422406441,0.009683192536957133,0.009859133191570578,1.5395091411614425e+169,464385479.28,-6598324.180000001,576.0
2005-05-30,-15.68631534137048,-0.3440305074361853,90.0,0.9621116036386306,0.009822519164964998,0.010198330287047792,7.676702785383248e+174,467925019.72,-6598324.180000001,576.0
2005-05-31,-16.004265418229313,-0.3476339420760344,91.0,1.5898121717632714,0.009767967097671642,0.010077437956120249,6.106259705291839e+176,466995519.62,-6618324.180000001,576.0
2005-06-01,-14.838632534764809,-0.3125962404873058,92.0,0.18758228578529093,0.009831102349852546,0.010199989060547164,4.919922135426825e+178,472647484.13,-7083940.880000001,576.0
2005-06-02,-12.978618792583054,-0.268808842377228,93.0,0.0058290992021983925,0.010009444642541937,0.010258479514740695,4.040079920296903e+180,481824404.44,-7083940.880000001,576.0
2005-06-03,-12.85547060041465,-0.26525149708446527,94.0,0.4707462232778522,0.009963341292080574,0.010290371239073044,3.3268073669316404e+182,483180735.8,-7083940.880000001,576.0
2005-06-06,-14.71642451676056,-0.2923832013193611,97.0,0.34835658821682564,0.01005402254973134,0.010650390549214508,1.817037875842993e+188,471432446.66,-8147752.530000001,576.0
2005-06-07,-15.108074939453228,-0.3087330964712671,98.0,2.17894769054424,0.010003897655180501,0.010522585097208884,1.4592501920454666e+190,470010990.85,-8147752.530000001,576.0
2005-06-08,-15.727345481204493,-0.3202067443509461,99.0,2.4396642249113074,0.009963938468356087,0.010395595566902387,1.165154678206811e+192,467266120.21,-8147752.530000001,576.0
2005-06-09,-17.218048544366123,-0.35115741085117574,100.0,1.1217235991594603,0.010075285411746142,0.010469157938819239,9.127203081649474e+193,458308919.75,-8147752.530000001,576.0
2005-06-10,-16.77074276631704,-0.34099107404639467,101.0,0.5171812324795979,0.010055785707236305,0.010530131835984344,7.196099011624897e+195,461317310.96,-8147752.530000001,576.0
2005-06-13,-15.726321371816718,-0.3237207931232839,104.0,2.26124812265495,0.010065464551228687,0.010647063508066514,3.572598844024955e+201,466395253.48,-9142066.340000002,576.0
2005-06-14,-15.923940050845129,-0.3428183725312198,105.0,-0.33513068560650183,0.010016989911777076,0.010649050961563225,2.851276738556839e+203,466054791.15,-9142066.340000002,576.0
2005-06-15,-15.694655005817863,-0.33901690111960087,106.0,0.5096304881073324,0.009981505075775735,0.010686739174297431,2.28483182761264e+205,467971076.23,-9142066.340000002,576.0
2005-06-16,-13.152674798881055,-0.29247595148680416,107.0,2.1041032908494044,0.010275489884358599,0.010777366396151778,1.8783189338244974e+207,480239315.79,-9142066.340000002,576.0
2005-06-17,-12.877443937398493,-0.2846783022436634,108.0,1.5796597623109006,0.010239647438171478,0.010815279035249703,1.5510249602593421e+209,482409477.87,-9142066.340000002,576.0
2005-06-20,-13.615277370590213,-0.2980618356626218,111.0,1.1323623708597963,0.010137742364468178,0.010771414416378234,8.677953951984244e+214,479001528.99,-9463766.640000002,572.0
2005-06-21,-14.54005321187936,-0.3172823247615017,112.0,1.2702897241098388,0.010131409834653425,0.010680840213552676,7.049887908108675e+216,474185604.79,-9463766.640000002,567.0
2005-06-22,-15.323511435512732,-0.319617518139766,113.0,0.5020853665290351,0.010110986785965887,0.010678679729738226,5.680724233036005e+218,470284480.71,-9463766.640000002,572.0
2005-06-23,-15.830572443217271,-0.35178884490249535,114.0,2.4631552620537724,0.010072706500239885,0.01056385009875522,4.556516797560103e+220,468105051.18,-9463766.640000002,572.0
2005-06-24,-16.99892270395885,-0.3767099191956691,115.0,1.47037872703588,0.010102579676675914,0.010525715409654152,3.6046563272958215e+222,461603070.28,-9463766.640000002,572.0
2005-06-27,-16.81615115226133,-0.37580708382270894,118.0,0.3370363234456413,0.010119159936332335,0.01047146269038615,1.7892589717071793e+228,462806699.96,-9463766.640000002,572.0
2005-06-28,-16.04446444148105,-0.34257301955776515,119.0,1.05240950759702,0.010127107075564155,0.010545536325509785,1.433097881162045e+230,467421616.34,-9463766.640000002,572.0
2005-06-29,-16.068288464578085,-0.3575028520621696,120.0,1.8084675591558368,0.010086477576165702,0.010560221924054865,1.1492004945615836e+232,467985749.99,-9463766.640000002,572.0
2005-06-30,-16.20885187652272,-0.3590894527935774,121.0,2.224794590099583,0.010044634976283103,0.010565595506600694,9.213909114411731e+233,467907376.18,-9463766.640000002,572.0
2005-07-01,-15.839318789352923,-0.3525316306683975,122.0,1.4367314042890411,0.01002074312998415,0.01060872993305766,7.428271865007822e+235,470528367.38,-9463766.640000002,572.0
2005-07-04,-16.487636555097296,-0.36247072108317424,125.0,1.8027794056162592,0.009941479433640155,0.010586967862966964,3.8714523007688635e+241,466652194.29,-10772325.040000003,571.0
2005-07-05,-16.95535053702937,-0.3718760203684107,126.0,2.377695626510007,0.009905924593558144,0.010483315809424285,3.0917163421422154e+243,464727334.4,-10772325.040000003,571.0
2005-07-06,-17.750960985084934,-0.38906915861028246,127.0,2.173421360137487,0.009889069183512797,0.010392692862854044,2.4485512654813023e+245,460824965.02,-10772325.040000003,571.0
2005-07-07,-17.696649343542962,-0.38726594337123316,128.0,2.7941644942206905,0.009853774846127308,0.010411823115008387,1.9432493559641158e+247,461803682.98,-10772325.040000003,571.0
2005-07-08,-17.86051965692169,-0.3899372299627176,129.0,2.3364279319269303,0.00981530867947826,0.010414954892128653,1.541602860323737e+249,461614878.03,-10772325.040000003,571.0
2005-07-11,-16.851879444248162,-0.3651979367023111,132.0,2.299189754124349,0.009781992301569788,0.010508042131981997,7.798532478544802e+254,467411785.88,-11160064.570000002,569.0
2005-07-12,-15.514765588182287,-0.3380652553335199,133.0,2.488936671698585,0.009843469436782926,0.010516505989483556,6.362829376180835e+256,470659543.38,-14993648.090000002,568.0
2005-07-13,-14.320695246907293,-0.3051914930865473,134.0,3.015767790326668,0.00988644062699846,0.010516432241026021,5.262512279180822e+258,476231471.62,-15944215.760000002,567.0
2005-07-14,-14.017572883243,-0.29811137598727594,135.0,3.675152630734372,0.009859672107491788,0.010547287527238453,4.372433150714724e+260,478442299.03,-15944215.760000002,567.0
2005-07-15,-15.164469090626637,-0.32075238845098436,136.0,4.669974750190243,0.009878800848557525,0.010589973276005622,3.5871567140371254e+262,472344883.07,-15944215.760000002,567.0
2005-07-18,-15.280839605530653,-0.3251072855400119,139.0,4.315137571323551,0.00987776832673733,0.010584946861036837,1.979546058430565e+268,471800679.16,-16193685.850000001,567.0
2005-07-19,-15.394461438841113,-0.32631987090461656,140.0,4.329843828990667,0.009842418301189497,0.01058973729696065,1.6230816199477289e+270,471758955.26,-16250585.270000001,567.0
2005-07-20,-14.425866306215054,-0.30625973583700006,141.0,4.390213743145715,0.009862556328501353,0.010576547111305332,1.3460634371052177e+272,477233962.52,-16250585.270000001,567.0
2005-07-21,-13.424644033917662,-0.28412148696460965,142.0,4.885747295163935,0.009884101559859172,0.01056508888337792,1.1294358040605802e+274,482907248.77,-16250585.270000001,567.0
2005-07-22,-13.92254427591051,-0.2933552760344878,143.0,5.463101753889359,0.009854576875102014,0.01055416621327781,9.434693418962738e+275,480740392.06,-16250585.270000001,567.0
2005-07-25,-15.967663886066807,-0.33822642262666247,146.0,5.929372078117355,0.00996135074014447,0.010649571018100257,5.365755931402013e+281,468903844.72,-16250585.270000001,567.0
2005-07-26,-16.01368217932463,-0.33511747238074835,147.0,4.847830229609219,0.009928113678058396,0.010658620756983083,4.376679260594424e+283,469279109.9,-16250585.270000001,567.0
2005-07-27,-14.729324757017599,-0.3081440587330388,148.0,4.504259954000573,0.009979344855122516,0.010744863985697765,3.622728011828356e+285,476116128.75,-16440585.270000001,567.0
2005-07-28,-12.46003811429108,-0.252371455964075,149.0,4.897079727398502,0.010160156323604373,0.010643774927077179,3.0715916074632976e+287,487838103.81,-16440585.270000001,567.0
2005-07-29,-12.159091918983076,-0.2468777800513084,150.0,5.970426546097121,0.010134672395535336,0.010671060350349097,2.61605853016715e+289,490066769.36,-16440585.270000001,567.0
2005-08-01,-12.59846381862893,-0.2560318702901651,153.0,4.481528868369228,0.01005339946777646,0.010638549650609383,1.6111057940095838e+295,488498842.49,-16440585.270000001,567.0
