,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2014-02-12,2.76855256312994,0.11187640646584117,79.0,9.097793324031825,0.027014088071056933,0.01845268743576846,7.123924831524883e+24,3324728.52,3877622.6900000004,1.0
2014-02-13,2.823623548884803,0.12317119450474595,80.0,9.6841939895265,0.026849542844120538,0.018245155018844425,1.4947957080308786e+25,3329212.04,3877622.6900000004,1.0
2014-02-14,2.8922462622324385,0.11781650688679708,81.0,9.608255248166664,0.026687177842862016,0.0180448031208255,3.139238867370814e+25,3334779.94,3877622.6900000004,1.0
2014-02-17,2.7995240026783543,0.11220757959320253,84.0,10.09951487486173,0.026232883280010277,0.0174728582297849,2.9030223977158734e+26,3324504.77,3877622.6900000004,1.0
2014-02-18,2.454166306241875,0.09796176793116698,85.0,10.574901559770552,0.02612526190623932,0.01730960225269257,6.0604411768585295e+26,3296946.91,3877622.6900000004,1.0
2014-02-19,2.249727280621398,0.09459266905491504,86.0,9.917639504266008,0.025999046260671142,0.017134324382923716,1.2619744357156346e+27,3280829.17,3877622.6900000004,1.0
2014-02-20,2.7630751110713954,0.11554819185699514,87.0,10.604403074281628,0.02585679278221345,0.017185590597933693,2.645085772276124e+27,3322283.86,3877622.6900000004,1.0
2014-02-21,3.251113003196635,0.12232113869981195,88.0,11.298723207722794,0.025714489186733344,0.017228858696988925,5.57811880872687e+27,3361300.58,3877622.6900000004,1.0
2014-02-24,3.369478602986199,0.12432259872756145,91.0,11.503425144900335,0.02529945084078894,0.01714359876511746,5.236840279438603e+28,3367744.58,3877622.6900000004,1.0
2014-02-25,3.3448165001927816,0.12970945011796758,92.0,12.202277877363008,0.025170441671923685,0.016973634676481483,1.1051568083186173e+29,3365814.81,3877622.6900000004,1.0
2014-02-26,3.137028015036797,0.12101351070397363,93.0,12.159874254938876,0.025059390917303397,0.01681256257892641,2.32644496391391e+29,3349842.55,3877622.6900000004,1.0
2014-02-27,3.495937347660277,0.13336426557936853,94.0,11.759757613305723,0.024925272473870597,0.016828201023274158,4.918701223996103e+29,3377655.13,3877622.6900000004,1.0
2014-02-28,3.169720060688924,0.12334441290113526,95.0,11.93909794318467,0.024831249276745678,0.016816706550197482,1.0359087031926008e+30,3352813.6,3877622.6900000004,1.0
2014-03-05,3.353926425629489,0.12605709567847967,100.0,12.644170774897786,0.024340717923310894,0.016115760677828612,4.299189445723089e+31,3363257.76,3877622.6900000004,1.0
2014-03-06,3.3942715760345927,0.12744240152443317,101.0,12.224639343851287,0.024222927565624226,0.01597553147509213,9.073644697478401e+31,3366413.03,3877622.6900000004,1.0
2014-03-07,3.267922031382008,0.13352659799288266,102.0,12.998523940610287,0.024116340181017923,0.015835100970453795,1.912264948965637e+32,3357155.36,3877622.6900000004,1.0
2014-03-10,4.4330980163717175,0.21510358299777732,105.0,15.175657777475694,0.023873965505818148,0.01569497927537158,1.81391567700292e+33,3442600.42,3877622.6900000004,1.0
2014-03-11,4.46940074440562,0.21753890056562528,106.0,15.026498350711693,0.023764303460598813,0.015565241651560913,3.875473216986953e+33,3445153.06,3877622.6900000004,1.0
2014-03-12,4.487817098535779,0.20690017069147618,107.0,15.055425901030477,0.023656857702245893,0.015437521969686322,8.281629320826833e+33,3462396.93,3893622.6900000004,1.0
2014-03-13,4.29975112511177,0.16696431011321933,108.0,15.394617072376766,0.023563007496849895,0.015416798639145203,1.7659769800742117e+34,3448598.7,3893622.6900000004,1.0
2014-03-14,4.434959453926554,0.19218232452963235,109.0,16.264358592213338,0.023454753412159194,0.015299999662355658,3.7714908658084522e+34,3458456.74,3893622.6900000004,1.0
2014-03-17,4.490694403783265,0.18838444944136495,112.0,16.203347847209553,0.02314222825607221,0.014956603323002044,3.674261034471103e+35,3449548.27,3883622.6900000004,1.0
2014-03-18,4.6837136149359315,0.20722380583021027,113.0,15.24081277161913,0.023038914915146654,0.014854444885684706,7.864957681671851e+35,3463384.93,3883622.6900000004,1.0
2014-03-19,4.670271839353053,0.21004500643064003,114.0,14.862939346415232,0.022942286749957446,0.014741070415943785,1.683283536735314e+36,3462404.71,3883622.6900000004,1.0
2014-03-20,4.664468421096512,0.22679781680891994,115.0,14.053100091532103,0.022846533612121005,0.014630166960782013,3.602387539024165e+36,3461989.78,3883622.6900000004,1.0
2014-03-21,4.698516343854693,0.22968531834108605,116.0,14.035436384995307,0.022750501821785347,0.014522860251780753,7.71232439234254e+36,3464409.84,3883622.6900000004,1.0
2014-03-24,4.7418512268837745,0.23235837536154713,119.0,13.493947102915389,0.02247051933392735,0.014212181101649197,7.5681900624341e+37,3464741.75,3883622.6900000004,1.0
2014-03-25,4.766643528293426,0.2590123620397348,120.0,13.454455991287142,0.02237941495808075,0.014112531839784063,1.620797271900375e+38,3466532.95,3883622.6900000004,1.0
2014-03-26,4.48723293262627,0.24879980300153443,121.0,13.283904167406993,0.02230588486685574,0.014100908857019836,3.4608287693492646e+38,3447316.08,3883622.6900000004,1.0
2014-03-27,4.015007781181598,0.22206114749330247,122.0,10.831582344346351,0.02225021576923721,0.014024966298992848,7.352955917905113e+38,3415005.85,3883622.6900000004,1.0
2014-03-28,4.01762799747827,0.22132048601684418,123.0,10.82047465234646,0.022162528171231887,0.013928576913006046,1.5623380660474354e+39,3415469.39,3883622.6900000004,1.0
2014-03-31,4.185460013878389,0.22823094064715904,126.0,10.400403700669052,0.021902593731365078,0.01365694463443964,1.5009370656629982e+40,3425108.17,3883622.6900000004,1.0
2014-04-01,4.446485674952916,0.2327996420274409,127.0,10.897142425313325,0.021815617974466562,0.013660962192873018,3.202872403652299e+40,3443222.75,3883622.6900000004,1.0
2014-04-02,4.1676542570907165,0.23774317612487605,128.0,9.158824311435431,0.021747187063826112,0.013575213474426051,6.815051370079254e+40,3424634.02,3883622.6900000004,1.0
2014-04-03,4.065255340506977,0.23442609670146197,129.0,9.395545249605226,0.021669291132503345,0.013485682024889594,1.448622891616427e+41,3418042.39,3883622.6900000004,1.0
2014-04-04,4.205840768547712,0.2585674393283291,130.0,9.920377021770513,0.021585536796977663,0.013406495055563392,3.0839276423411258e+41,3427898.07,3883622.6900000004,1.0
2014-04-07,4.167787886634557,0.25148286349460836,133.0,8.908918469795056,0.021345149000945546,0.013168476442145699,2.973442018648117e+42,3423564.82,3883622.6900000004,1.0
2014-04-08,3.9637046951241226,0.2654695214672564,134.0,9.289596271689646,0.02127639334855787,0.013087900546039123,6.312940142986657e+42,3410407.51,3883622.6900000004,1.0
2014-04-09,3.6882542709112793,0.2313889746879758,135.0,9.42247792255412,0.021212475799328497,0.013011504952582442,1.3366083691642553e+43,3392622.95,3883622.6900000004,1.0
2014-04-10,3.1507291952400998,0.2133028609110703,136.0,8.838706392448286,0.02117012415631356,0.01295950815958837,2.814568246042019e+43,3357708.67,3883622.6900000004,1.0
2014-04-11,2.8287434126336826,0.20552576306338413,137.0,7.782650436262285,0.021110170336583415,0.012952653634706289,5.907673286570019e+43,3322086.24,3868622.6900000004,1.0
2014-04-14,2.910447894601279,0.2099072810898099,140.0,8.183231672044752,0.02091689378285581,0.012738626310493993,5.467293934645503e+44,3327083.29,3838622.6900000004,1.0
2014-04-15,3.127301529714573,0.2354047752202623,141.0,9.468025406623388,0.020842125096370203,0.012741462536516358,1.1511536144464069e+45,3341930.8,3838622.6900000004,1.0
2014-04-16,3.1281201482814036,0.2379915180460977,142.0,8.714707722995689,0.020770307775965342,0.012668420899394817,2.424055721648473e+45,3342641.04,3838622.6900000004,1.0
2014-04-17,3.1221458902510513,0.23937252388334693,143.0,7.829126490998133,0.0206993867906557,0.012596299493502739,5.104708189113597e+45,3342919.6,3838622.6900000004,1.0
2014-04-22,3.2032776617567364,0.24669502502707877,148.0,8.096717759965447,0.020354447189828945,0.012309911186922316,2.1150884294279886e+47,3346086.48,3838622.6900000004,1.0
2014-04-23,3.2164170366253946,0.2775137322668918,149.0,8.567208190563838,0.02028726675871819,0.012243809678857855,4.457350617780996e+47,3347611.08,3838622.6900000004,1.0
2014-04-24,3.1466373876420057,0.26984020366781064,150.0,8.345756716764637,0.020222797425340323,0.012176826027001502,9.387961730036569e+47,3343889.92,3838622.6900000004,1.0
2014-04-25,3.890251968747095,0.34459675307307025,151.0,9.567631855047184,0.020174283572543594,0.012165854264354889,1.9921903593172763e+48,3391935.81,3838622.6900000004,1.0
2014-04-28,3.941957118269202,0.34678993841357514,154.0,9.6264075589014,0.020013860738360527,0.01218911850205641,1.9045416002250605e+49,3394610.73,3838622.6900000004,1.0
2014-04-29,4.074852369301863,0.3509860396375104,155.0,9.600759518507386,0.019948997153782694,0.012130855940260176,4.0488748153531136e+49,3403531.91,3838622.6900000004,1.0
2014-04-30,4.118533084139342,0.3758681908340436,156.0,9.789749138881966,0.019885823510922666,0.012069192361726924,8.611957906429768e+49,3406842.43,3838622.6900000004,1.0
2014-05-02,4.830499561151191,0.44044057373120254,158.0,9.376415946659675,0.019773671111830395,0.012044656623264365,3.92298525364939e+50,3451108.52,3838622.6900000004,1.0
2014-05-05,4.856722661005083,0.44792514271987444,161.0,9.097662768755287,0.019616162007640752,0.012054428865377408,3.853902109818478e+51,3451739.41,3838622.6900000004,1.0
2014-05-06,4.828817108877979,0.4419885577457323,162.0,8.815911067308416,0.019558005227959304,0.011992814773980018,8.252956401020485e+51,3450536.78,3838622.6900000004,1.0
2014-05-07,4.8390196963209045,0.5991765059570197,163.0,8.571555616599674,0.01949952885274539,0.011932770961618908,1.7676458081097288e+52,3451682.01,3838622.6900000004,1.0
2014-05-08,5.179183175534567,0.5078792332958301,164.0,9.617968673572909,0.019440474596363902,0.0119416386000418,3.7984967815450823e+52,3473048.33,3838622.6900000004,1.0
2014-05-09,5.33487004074383,0.7297029960453897,165.0,10.301673390046332,0.019381271275570443,0.011887933942763435,8.175124621301455e+52,3483019.25,3838622.6900000004,1.0
2014-05-12,5.300520375418491,0.741047131275136,168.0,9.322089115963555,0.019210380899100685,0.011724602847975973,8.145279629561383e+53,3479481.2,3838622.6900000004,1.0
2014-05-13,5.301059766418505,0.7354553319917595,169.0,9.53796059746232,0.01915520645813335,0.01166815979858745,1.7522166428416185e+54,3480011.61,3838622.6900000004,1.0
2014-05-14,5.491519189822879,0.7191362164135474,170.0,9.362529510886658,0.01909847088522022,0.01161974014905744,3.776311477872984e+54,3491974.59,3838622.6900000004,1.0
2014-05-15,5.281865812572126,0.7062436107644409,171.0,9.784021970415465,0.019050280482247668,0.011565322795940582,8.123534448250321e+54,3479942.97,3838622.6900000004,1.0
2014-05-16,5.691112206747976,0.7528113038699157,172.0,10.117339951477364,0.01899632139885186,0.011577620880444402,1.7542660373750495e+55,3505044.98,3838622.6900000004,1.0
2014-05-19,6.377833207950893,0.9103159927904539,175.0,11.48479842530522,0.018843898629226502,0.011628217028832126,1.7773567650911858e+56,3544664.8,3838622.6900000004,1.0
2014-05-20,6.504492006893642,0.9572973522843514,176.0,12.696682943211009,0.01879038551525292,0.011577177977826168,3.8661157310022287e+56,3552562.56,3838622.6900000004,1.0
2014-05-21,6.512824794025028,0.8880659602188016,177.0,13.0792558514256,0.018738885982220208,0.011523422335985778,8.410725455456437e+56,3553446.32,3838622.6900000004,1.0
2014-05-22,6.43218668155069,0.8961425603030343,178.0,12.362050630721699,0.018689714715571477,0.011469573710150508,1.828544297871777e+57,3549108.21,3838622.6900000004,1.0
2014-05-23,6.410900520068698,0.9721050389840137,179.0,12.609052206241865,0.01863958529780074,0.01141673877909567,3.974867487613107e+57,3548278.09,3838622.6900000004,1.0
2014-05-26,6.361938715915389,0.873653528580733,182.0,12.251589628768686,0.018492915077784253,0.011261719318293534,4.0802158319327965e+58,3543876.14,3838622.6900000004,1.0
2014-05-27,6.197962762265342,0.7270280516199662,183.0,12.884837461285741,0.01844785284179725,0.01121159525064185,8.851364437064504e+58,3534824.25,3838622.6900000004,1.0
2014-05-28,6.165384583109319,0.7428589008297906,184.0,12.325167099256214,0.0183998290207192,0.011203657044566764,1.919749074004171e+59,3533422.51,3838622.6900000004,1.0
2014-05-29,6.4721720435836225,0.7724619192455556,185.0,13.110714185152144,0.018350108228234498,0.01120871272580282,4.175334942751613e+59,3551754.31,3838622.6900000004,1.0
2014-05-30,5.887283450671964,0.7407614238534601,186.0,13.62618654068145,0.01832517393108082,0.01118031932188199,9.035386069006222e+59,3518661.87,3838622.6900000004,1.0
2014-06-02,5.9607827474078885,0.6832104104388049,189.0,13.483197682429912,0.01822736121117191,0.011077260681684095,9.161553828938078e+60,3451381.62,3767481.6400000006,1.0
2014-06-03,5.98388542859321,0.7252200101963858,190.0,13.048121600577486,0.01818030165364673,0.011111371957631642,1.9842911043008862e+61,3453222.06,3767481.6400000006,1.0
2014-06-04,6.144714653033008,0.7324556781313271,191.0,13.483644310797404,0.018132456185414546,0.01106882363386462,4.304184609041562e+61,3462819.58,3767481.6400000006,1.0
2014-06-05,6.257888011509654,0.6911660836068653,192.0,13.928487705577218,0.018085223522631217,0.011024792786846331,9.34633750870266e+61,3469703.18,3767481.6400000006,1.0
2014-06-06,6.393025438366657,0.7042570271116878,193.0,12.278135234990915,0.018038233549056502,0.010982058325734729,2.0320683172449334e+62,3477798.19,3767481.6400000006,1.0
2014-06-09,5.133300759661432,0.5727600017955928,196.0,9.37606564866603,0.01797873743633015,0.01096691726650754,2.065644079879017e+63,3407407.02,3767481.6400000006,1.0
2014-06-10,5.183288002076715,0.5783482126569645,197.0,9.063623368964862,0.017933539268317727,0.010923304188671566,4.4444190012318084e+63,3410869.17,3767481.6400000006,1.0
2014-06-11,5.3154090823194595,0.5559444973211015,198.0,8.72330229194715,0.01788808245245157,0.010882839720247669,9.574616432105256e+63,3418899.11,3767481.6400000006,1.0
2014-06-13,5.02307863626902,0.4883881095822422,200.0,8.672294249490065,0.017808126240561186,0.01079858656623664,4.433855624174614e+64,3403813.98,3767481.6400000006,1.0
2014-06-16,5.253381096033514,0.5026852137931869,203.0,9.148995667175232,0.017692910843840844,0.010719835641182642,4.41017515321603e+65,3416123.35,3767481.6400000006,1.0
2014-06-17,5.306178848326592,0.51210676610805,204.0,9.608720775594978,0.01764987820802429,0.010679152897585897,9.502070771441041e+65,3419722.44,3767481.6400000006,1.0
