,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2020-06-30,0.07005392002331265,0.08787619966168715,-0.05251160053364423,0.12226579240496699,-0.18538677699602724,0.1783544298564478,,,,,,,0.0,0.0,-0.0,0.0,-0.0,0.0,,,
2020-09-30,0.039403256506282666,0.3104362126714252,0.008701018619089734,-0.33889797037002495,-0.09591518111691513,0.5078962714550281,,,,,,,0.0,0.0,0.0,-0.0,-0.0,0.0,,,
2020-12-31,0.005108123542927279,0.8968541369566725,-0.1514852291086462,-0.14078314951777704,0.16863697500359032,0.2940393365215207,,,,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,,,
