,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2020-06-30,0.10857030382233697,0.33156667697107195,-0.26906293878973886,-0.25602007415378253,-1.1018059230196997,-0.22298391911093454,,,,,,,0.0,0.0,-0.0,-0.0,-0.0,-0.0,,,
2020-09-30,0.2081892270162726,-0.39178434705291665,-0.46801247221461306,1.2428263517378717,-1.3926010646311628,-1.2940407785866466,,,,,,,0.0,-0.0,-0.0,0.0,-0.0,-0.0,,,
2020-12-31,0.13463546270723234,-0.043548108970594746,-0.6368559004270795,1.992797250914116,-0.46029820574996216,-1.538285064393193,,,,,,,0.0,-0.0,-0.0,0.0,-0.0,-0.0,,,
