,Market,HML,SMB,WML,IML
2001-03-31,-0.038285982965372334,0.23070869513240155,0.07291721033157517,0.1257261344841032,0.21659793318501475
2001-06-30,-0.0039797324608905615,-0.16931286331948792,-0.06512268613118666,-0.07765111272314729,-0.1134396419162037
2001-09-30,-0.22127745808140453,0.15852718253257136,-0.03975530903805924,0.15644041269923648,-0.06263830977192553
2001-12-31,0.14320197043629213,0.06706315243484506,0.13359851715819993,-0.21049568964101784,0.21867358522785096
2002-03-31,0.02502164987027733,0.20380990927033782,0.011206989368381937,0.22446773862604363,0.06720993036080491
2002-06-30,-0.12122153993393203,-0.03288960435589816,-0.025133070924968637,0.2885288588959696,0.16166588006193416
2002-09-30,-0.1945560716984538,-0.12331450561776047,-0.05367503132699225,0.1848767057276295,0.03545935933901778
2002-12-31,0.20193015481153131,0.0898365044274847,-0.04204873545542853,-0.1036382899721996,-0.03527740829504544
2003-03-31,-0.06315838066375845,0.054718610383944544,0.006435544311314212,0.06088415084000953,-0.03714012354530083
2003-06-30,0.017539394229432625,0.146703064892586,0.05562971163909114,-0.06581291324901273,-0.04173575832515075
2003-09-30,0.1363400122732561,-0.05405912329088014,0.19261483206055763,-0.06409335677980788,0.1437477588501903
2003-12-31,0.30258617957506595,0.05618956718036605,0.13453814713699974,-0.011234923061695046,0.07631499753840765
2004-03-31,-0.03150668375135435,0.005926124601224547,0.10608366754505072,0.12170053455896768,0.08197848853722078
2004-06-30,-0.08417458936999811,-0.01924520341732794,-0.05128614992721148,-0.05406133298239768,-0.09195686114297075
2004-09-30,0.11222938663515825,0.16893258336302064,0.08670761274765049,0.1741544106201256,0.043421299094041466
2004-12-31,0.11065546601599952,-0.000637432552360595,-0.09340575204786505,0.07989626124888294,-0.041323234720123114
2005-03-31,-0.021573437466019363,-0.04836061876425135,-0.009042471786049888,-0.025233458988490276,-0.06274720599264594
2005-06-30,-0.0816737021161974,0.108012936176628,0.05004104446994728,-0.10072726279401312,0.08406867342942048
2005-09-30,0.21816304363077776,-0.006177575298217608,-0.06520298137505431,0.11896398149745502,-0.15499488710700038
2005-12-31,0.023712890241374796,-0.0005337126967743799,0.07964518945513932,0.014078023365774017,0.09307331120240714
2006-03-31,0.09756962509085998,0.032113578931073805,0.005675675032246641,0.026165422732194576,0.023826482078286748
2006-06-30,-0.0795390953998556,0.002288568383040257,-0.05734543273750603,-0.024428523219970022,-0.04174464756808849
2006-09-30,-0.035627310087139374,-0.03149911551772011,0.05059778855792674,-0.03963081367026189,0.026841378503968727
2006-12-31,0.1821292712844722,-0.011936727969013017,0.0680688835357155,0.010663482405038005,0.021938891246123582
2007-03-31,-0.013000417296255895,0.011589279737066693,0.040076467544733596,0.05063675226196884,0.01691399454274012
2007-06-30,0.146087663573907,0.0903661003889249,-0.01001927898160293,-0.037040111033750045,-0.07432072621019448
2007-09-30,0.08549134305651807,0.11169592805402351,-0.04047379212416702,0.1119430424020953,0.0009098932615791977
2007-12-31,0.040847198575781896,0.03846117568840901,-0.059780556450413136,0.09200222731939633,-0.0482561140158676
2008-03-31,-0.09493261126212937,0.11809226630223879,-0.2029008960914116,0.024753793337047414,-0.115114103340342
2008-06-30,0.0431963543750189,0.05161193708776013,0.034044596445489406,0.04072626517164912,0.061144884928099996
2008-09-30,-0.24032811770076445,0.06360289694577737,-0.21625857493987055,0.17606539636890517,-0.10978714328031691
2008-12-31,-0.24121371659633983,0.07521914480410885,-0.10819939743828866,0.01909014935047737,-0.06927932165921491
2009-03-31,0.06325064293339011,-0.03962751910756657,-0.0050870601323128595,0.046961573016152114,0.007199424253982123
2009-06-30,0.1799359611319935,-0.05807653177514871,0.2707821623580753,-0.3132708083459885,0.11201092265927559
2009-09-30,0.16430196141401887,0.04042940517957638,0.17559160457069667,-0.11931432012527698,0.0742792726468604
2009-12-31,0.08788755962683137,-0.04414423802019152,0.05934948063487844,-0.031709539590379365,0.04757628898161448
2010-03-31,-0.0034496403230628303,0.026782445879568684,0.004660459772932279,0.016649607135905464,-0.006265454716120278
2010-06-30,-0.14044239311567064,-0.059604216107180696,0.05122165779714294,0.006342282701630397,0.06757570714611538
2010-09-30,0.12052072019298765,-0.04242385263782722,0.05219862770161998,0.08535491658776562,-0.013488767063950746
2010-12-31,0.0032480611809198034,0.0003764486392918709,0.006857729574335059,0.06469454914467576,0.0510290433659224
2011-03-31,-0.021760023773361725,0.06063409573957168,-0.08513647679599168,0.006009723044044568,-0.029868771205479372
2011-06-30,-0.08274760174988538,-0.04288035331035267,0.017159354730002407,0.15641903274784497,0.0320304631506414
2011-09-30,-0.13936557099571367,-0.0838034767284499,0.031188178898904795,0.1052817575853513,0.03307544381539884
2011-12-31,0.0782333746383228,0.03000467896256076,-0.08808105634918162,0.11860293001398325,-0.07249291385825152
2012-03-31,0.09319210488183383,0.0012725391979995226,0.09251203201031788,0.005789103663530026,0.035041372791391634
2012-06-30,-0.11177718010937765,-0.09226735385724272,-0.04162699963356298,0.2079657855033603,0.03926462706122735
2012-09-30,0.040085225992491536,0.04917236609094555,0.12339889935687132,-0.09269241044739585,0.030398124235918145
2012-12-31,0.035186280530737024,-0.018095391091922597,0.020972625166943537,0.03618614341152471,0.02383435117811139
2013-03-31,-0.02791200754761014,-0.015505336258620162,-0.04259044104537957,0.10499873198982224,0.03353832434342574
2013-06-30,-0.10561654201222959,-0.11111214418494364,-0.09965532215242479,0.023031915453074037,-0.031756245719714804
2013-09-30,0.05934130210774691,0.09182608702667894,-0.015220455181624293,0.011071211839557504,-0.041654544925546766
