,Market,HML,SMB,WML,IML
2001-01-31,0.1395395218642026,0.12193378430527058,0.02962323538374645,-0.02654115442862881,0.10724231506962911
2001-02-28,-0.0853169001958114,0.06503719534676633,0.011963128681911739,0.08781929323862392,0.08171358915682192
2001-03-31,-0.07733106458397188,0.029966899189205032,0.029729578836362958,0.0630615142543971,0.01576235624506528
2001-04-30,0.0268548562261961,-0.10646006775006356,-0.07317409560935695,-0.04986515318385276,-0.14765062689979414
2001-05-31,-0.003461456384232453,-0.13461172564865198,-0.015901156688480134,-0.02035864149331834,-0.048654327760535576
2001-06-30,-0.02665900867906701,0.07426768796685601,0.024985534180501645,-0.009070243767093866,0.0933326442838287
2001-07-31,-0.04685744284890614,0.026059702490582426,-0.008297148358563766,0.07186329877405462,-0.033578505413830784
2001-08-31,-0.04695212682239325,0.0922918921283431,0.0019867453482718123,0.03568235858443902,0.07366690381508745
2001-09-30,-0.14274471923175303,0.03370088161781393,-0.03364126620783825,0.04173505970392566,-0.0966187897175308
2001-10-31,0.0439381453085772,0.03977524487187645,0.07472949492930336,-0.05652904257319502,0.10680897355300312
2001-11-30,0.05397580864262741,0.022114543951275545,0.06572756652859213,-0.1539949578790496,0.0999412718364201
2001-12-31,0.03900480155146102,0.004040154157520348,-0.010276455620760294,-0.01087081086255881,0.0010257020443042997
2002-01-31,-0.04669150814906253,0.12132853216940309,0.036570423367999094,0.06600031579290522,0.016765450191946973
2002-02-28,0.10519159393307587,0.04053348408465274,-0.044548168668046007,0.0704764854602955,-0.005086824049854166
2002-03-31,-0.02711388828854122,0.03173694146107131,0.021015776322754753,0.07303251453346338,0.05497919444136201
2002-04-30,-0.008449057702131668,0.04254181428692738,-0.042377611850630825,0.10888831454284453,-0.016272904529581966
2002-05-31,-0.019266011311162456,-0.05400106756287126,-0.027479013016866616,0.045531139961696665,0.03062825419319526
2002-06-30,-0.09632317454005657,-0.019399923844026667,0.04677192193287438,0.11139738492145579,0.1457887551664352
2002-07-31,-0.12262729652223248,-0.04407889886511829,0.01973434600435886,0.058884486173538475,0.04882727937083531
2002-08-31,0.03770287548132423,0.04063310203434689,-0.07795643320152523,-0.032867180271572316,-0.04194924121917487
2002-09-30,-0.11533636976001271,-0.11869925769460865,0.006472260671681385,0.15701357551899608,0.030482365667193756
2002-10-31,0.1701192809891987,0.0018109677651647615,-0.09074163748653763,-0.018122705142088247,-0.09976766864786424
2002-11-30,-0.00833257633778961,-0.0006109363022932524,0.03743481075941668,-0.025086134359453394,0.0640254257301558
2002-12-31,0.03581703395030811,0.08853143679089914,0.015535932508705885,-0.0636033919178931,0.0071538950387779465
2003-01-31,-0.05595031630111824,0.020345348789710282,0.04442978438928735,-0.008626729331081329,0.021455052794074003
2003-02-28,-0.045365840858098805,0.0674856031141906,0.012957593341525797,0.17261732041709354,0.027410339355143476
2003-03-31,0.039523602782598255,-0.031661066799462234,-0.04870447507341802,-0.08741263570494173,-0.08251304838420481
2003-04-30,0.04010812512467621,0.1428116033344642,0.0490495130266142,-0.1647163109264519,-0.008697074560544804
2003-05-31,0.023164224448009474,0.00863732527248029,-0.029847665164994153,0.007918560481616987,-0.05519199680754028
2003-06-30,-0.04384698980778112,-0.005187355843527142,0.03723147154137041,0.10962035847290719,0.023140629769922372
2003-07-31,0.05569192019404401,-0.06807121268475047,-0.009788447635718955,-0.006367148409438417,0.029148371457388134
2003-08-31,0.0838006879676465,0.004497735890671262,0.033692742338970794,0.030113301550104943,0.0018313926472826036
2003-09-30,-0.006834376003211906,0.010490659419536641,0.16514707802642614,-0.08563079068455537,0.10932200681018478
2003-10-31,0.08244557079181081,-0.012190130348027184,0.0189159276794284,-0.055555317467714804,0.003457127327245235
2003-11-30,0.07283471432992972,0.05721878278402781,0.13386981363793282,-0.0036012969165453157,0.07829659040636283
2003-12-31,0.12167639501164618,0.011355037324503492,-0.017986273614037263,0.050711388282618675,-0.0052765921754786005
2004-01-31,-0.03451067599810753,-0.010394832154053124,0.02848334747452186,-0.02795106800304903,-0.012130432206420072
2004-02-29,0.017281920617310043,-0.01738958475994623,-0.04042172649154285,0.029372190553083044,-0.026403120905004296
2004-03-31,-0.01392981894454759,0.03448159783430316,0.12075402969647686,0.12102776269003024,0.12496716461331792
2004-04-30,-0.14233019204978803,0.029684946606741924,0.02520602486479584,-0.06285446384464988,-0.024888782770311257
2004-05-31,0.02090850825295787,-0.11308850700470219,-0.05595781358459251,0.027110714246430634,-0.04235287952430222
2004-06-30,0.04593752395909623,0.07392955482310382,-0.019759393988258656,-0.01725989885372492,-0.02759580950671814
2004-07-31,0.04357777723747902,0.11361394655963042,0.013430455289439092,0.09077171705270137,-0.006284444244615273
2004-08-31,0.022713595969431344,0.03388103617568494,0.057577535522413514,0.08405668755623097,0.034976701407956945
2004-09-30,0.042114679986140935,0.015276265986123638,0.013926656167138285,-0.0070226267810761245,0.014535003916869238
2004-10-31,0.011151039837394183,-0.04971992831881333,-0.09032020835141585,-0.0210508731185034,-0.028364045721993802
2004-11-30,0.04713860420425253,0.09026113246676193,0.01918338381386331,0.026468592526091905,-0.017027249913379672
2004-12-31,0.04896054872297606,-0.03541406138327452,-0.022150365737988564,0.07467277935887062,0.0037536702994993565
2005-01-31,-0.0656192125637951,-0.03998284523013662,0.004147314492909171,0.033269687195026654,-0.007001666863900802
2005-02-28,0.12674168687706988,-0.005884851638281341,-0.0271381575249936,-0.00868656531630263,-0.05116912748507818
2005-03-31,-0.07064856897054606,-0.00285866265663981,0.014393459478289738,-0.048352890507834756,-0.005237472328843973
