,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2017-12-31,0.053050353488206775,0.2374744944975542,-0.30314523546485755,-1.9861318600006812,0.09099781204050611,1.5609072832594504,0.38729544880810796,0.764469706336222,0.5479687933152574,0.5325280798166881,0.8732748616119081,0.5049763762123056,1.0090049329335384,0.3280004957820217,-0.6751327194060351,-0.7033162602812307,0.17354152990731103,0.7552643802433817,1.148347953792343,0.48533360459295016,0.08485036029044524
2018-03-31,0.03478597618594456,-0.02342962080849137,-0.27625567429622166,-1.0434277615299146,0.14855203904990372,0.9881401798785245,0.4234739017328457,0.9666783235698121,0.5364495528226795,0.6512393387795166,0.7686246004275584,0.586716470261549,0.8905942370698571,-0.04444718570467404,-0.6754060298177528,-0.4877721046588187,0.314837295663886,0.5903151115278856,1.3197179133543508,0.405575071510975,0.15083040594227604
2018-06-30,0.04717033582089343,-0.3992666574914927,0.1099044197919723,-1.9960554578884453,-0.002355342110489156,1.6547379129883564,0.5529683132823061,0.6110339039063275,0.904026733689899,0.526696220507438,0.9971078108134956,0.5099574101754131,0.6661395528967801,-0.5658871089074471,0.13105482698269003,-0.7141285818969654,-0.003934401714651556,0.745705330854926,1.9918796528678269,0.30274084301950455,0.38268738742184494
2018-09-30,0.0481668517630442,-1.0616751859173787,1.0779499637053014,-2.7202335287646147,0.5376917472614013,2.878708463921808,0.3530974402613498,0.1259182497001655,0.13169660127878915,0.2612866656485272,0.23490732976246548,0.21456434239652442,1.6141700910197319,-4.98971491202246,4.764834149887156,-2.2981093130830326,2.5859606974885003,2.8538286197673965,14.885352485443654,0.19417950735543993,0.9204526376723436
2018-12-31,-0.07666247777521493,-1.2797622294863156,2.0444381094226762,0.14687512987026494,1.2310797209226307,0.42495732796372393,0.04410956287817946,0.006340964315360077,0.014782388221837557,0.7312492929350891,0.006646831037983687,0.2708895175305131,-4.602401219201762,-12.498252277256624,8.133375121653991,0.394587874207373,12.204478717171737,1.5066100784816319,80.12043126185283,0.01237297551169132,0.9826131085233858
2019-03-31,0.10101971900160907,-0.34896729601138127,-0.7025874445557543,-2.330710099640322,0.4250256295212856,2.322070102494329,0.11169836516050463,0.14530504193470672,0.2865104788584097,0.06458130872737053,0.14782520996693388,0.05071191307759018,5.6408491910252305,-4.304917064925158,-2.0698951837546318,-9.823809519804724,4.22889030989155,12.527089314056767,77.64907033445085,0.08593678995446632,0.9845855577356979
2019-06-30,0.22295200203576013,0.5976528339975233,-2.1165966529456473,0.8049572553381421,-1.0598955506684842,-1.8129388818148058,,,,,,,0.0,0.0,-0.0,0.0,-0.0,-0.0,,,
2019-09-30,0.22295200203576013,0.5976528339975233,-2.1165966529456473,0.8049572553381421,-1.0598955506684842,-1.8129388818148058,,,,,,,0.0,0.0,-0.0,0.0,-0.0,-0.0,,,
2019-12-31,0.2202997358729109,1.4401263579114914,-5.080489229233217,-0.732102781395075,0.1780832209863703,0.4216488071103064,0.012379350926466783,0.02428432113964117,0.014394064643354604,0.05523298746238007,0.12436110166942013,0.0798759662892507,51.41945918555808,26.20254269244022,-44.2203992050648,-11.497144470451229,5.053841393431613,7.9282372574591555,588.692209576795,0.03128039282090022,0.9979622756414752
2020-03-31,0.2213754991418384,1.381888114450194,-5.032657928153244,-0.8157697655885037,0.1583152892243666,0.4802294431500901,,,,,,,0.0,0.0,-0.0,-0.0,0.0,0.0,,,
2020-06-30,0.29095396925015893,0.8128776228967409,-4.885451033226567,0.47933405401819484,-0.15267000471787529,-0.5020802862495259,,,,,,,0.0,0.0,-0.0,0.0,-0.0,-0.0,,,
2020-09-30,0.03152289051363227,2.8186909887347564,-1.6492816785694129,0.8264437713928388,-0.317972729243853,-1.6071017480208036,,,,,,,0.0,0.0,-0.0,0.0,-0.0,-0.0,,,
2020-12-31,0.03152289051363227,2.8186909887347564,-1.6492816785694129,0.8264437713928388,-0.317972729243853,-1.6071017480208036,,,,,,,0.0,0.0,-0.0,0.0,-0.0,-0.0,,,
