,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2012-07-31,-0.004939413751933369,1.0905011957496034,-0.40502729468741655,0.12559399589339754,-0.607942267339768,-0.09471693846854468,0.49689496224820695,6.02539293639373e-07,0.11387635152567646,0.6864996347325314,0.0012299083118077275,0.7959506091264763,-0.6886883710014291,6.480584307629351,-1.6339556329780485,0.40798823307518683,-3.6099327631598115,-0.26116040211288183,18.815114153445148,4.786251832450413e-08,0.735702257712072
2012-08-31,-0.004939413751933369,1.0905011957496034,-0.40502729468741655,0.12559399589339754,-0.607942267339768,-0.09471693846854468,0.49689496224820695,6.02539293639373e-07,0.11387635152567646,0.6864996347325314,0.0012299083118077275,0.7959506091264763,-0.6886883710014291,6.480584307629351,-1.6339556329780485,0.40798823307518683,-3.6099327631598115,-0.26116040211288183,18.815114153445148,4.786251832450413e-08,0.735702257712072
2012-09-30,0.0027497203791194483,1.1093907879143994,-0.23784920187200134,0.1853385880882234,-0.7218106077971341,-0.07385005898255417,0.7499959502608315,5.343303622679527e-06,0.4148323532717173,0.6275186439779705,0.0011204586326295054,0.8653938282676225,0.3219154197864417,5.6501988035932085,-0.8281748835440981,0.49082110975126503,-3.6458594283536323,-0.17113485392253922,16.147609790141274,2.2019770263603167e-07,0.7029832978074345
2012-10-31,0.0017891121170544616,1.1548556305183864,-0.27551590827501665,-0.0035798934907520508,-0.6873277789274455,0.1456908792117905,0.8442695997708551,1.138508439428813e-05,0.36701659573870227,0.9924467452349477,0.0025633978018199735,0.7342973741072123,0.19833395900105363,5.366783777503169,-0.9174758880671192,-0.009554792324095052,-3.3235221660922414,0.34294267093150954,11.661786355981802,4.540511671348199e-06,0.624892735938158
2012-11-30,0.0018075722747370468,1.1950538617029498,-0.3546312610314177,0.00836207871796818,-0.716846808897089,0.2218154249768413,0.8379537069040068,9.970592065944687e-06,0.297426009123866,0.9822631530931732,0.0024505649337179434,0.5937948047841166,0.20649481281483803,5.416374172244268,-1.062486776095344,0.022438533791317855,-3.3412687962389174,0.5397481178601921,11.546822307739953,4.953333207814005e-06,0.62234807896245
2012-12-31,0.006070589305686547,1.3294676470105582,-0.4019298538029359,0.011512554716447451,-0.7525032046888794,0.23127936246442748,0.47413158167913205,1.9089044899118133e-06,0.22271807246914088,0.9742924062104081,0.001045829635352543,0.5626612240057619,0.7259237659919496,6.039048167765442,-1.2480776788887187,0.0325252839741535,-3.6723762370921937,0.5861228719610673,14.568485020835968,5.931814457446217e-07,0.6794949645242507
2013-01-31,0.005616772501284848,1.3381299887118838,-0.31230873535567627,-0.0650592198104948,-0.7065594918599891,0.3096982402935331,0.5279249117008631,2.0379203269278207e-06,0.318908034201435,0.852188407241463,0.0021847828508249605,0.4307683128499282,0.6394405715307139,6.014208422857719,-1.0154435893422002,-0.18812117843838594,-3.3864053745127025,0.7998688627642245,13.44383796240888,1.2585166130353297e-06,0.6603664278600142
2013-02-28,0.009512538452213185,1.2949839468609365,-0.43132970636500967,-0.041803273799748145,-0.7539962517462507,0.16317018293516883,0.3505990839151606,2.747837531349603e-05,0.24939855019008098,0.9179548937924848,0.004010418093644274,0.7203524587883783,0.9498797175614895,5.03828662725527,-1.1771761378165337,-0.10397855868016542,-3.1454613516854213,0.3617529329256642,9.848746153988078,1.917063564451518e-05,0.5802933608199532
2013-03-31,0.009003060257189943,1.2158296906826083,-0.318733643189532,0.19915651442123752,-0.8157151912499205,-0.09613145597206613,0.4097854986788563,0.00012881480716944426,0.4497272068819128,0.6549861852942247,0.005675308099654001,0.8473360077796875,0.8377879781407863,4.491022080074118,-0.7674509237647509,0.4520439007997501,-3.0149636654026275,-0.19444860588065807,7.919239258112016,0.00012118573642432488,0.5274116221208212
2013-04-30,0.006068515205877218,1.18938305156553,-0.28686541276605765,0.14220449457179385,-0.7419823231942191,0.012067357503136283,0.5544470638390284,0.00011062260431820236,0.451366524428221,0.7328165587145621,0.006797254179654667,0.9794151254549428,0.5983031419026333,4.493411152805376,-0.763814494123124,0.34480641044079546,-2.9225634714588145,0.026033692809546767,8.873297813215979,3.856240409847241e-05,0.5439878260521004
