,alpha,beta_Market,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_Market,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_Market,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2016-05-31,0.012139019458249465,-0.31701602702874193,0.2699041609721976,-0.1187356250084079,0.123123885243515,0.10606750036247843,0.13914996465326732,0.03472649883344718,0.14020686038562086,0.7569485093549326,0.5215198057280054,0.8061417835688094,1.5239487769690685,-2.223698958888383,1.519717413945983,-0.31265024293772614,0.6494733780588233,0.2478290219397951,2.0832261128028238,0.09857633212379632,0.14475389310361275
2016-06-30,0.011896776612022783,-0.3204572361796746,0.27317843536356,-0.10688400399690104,0.12364610973147071,0.08861066885662705,0.16890162519663451,0.040412689422236206,0.1482932319629535,0.7921969001215838,0.5277766609356291,0.849980783809759,1.4151136900952683,-2.157185065882701,1.4898595284216611,-0.26618423470867403,0.6399936892883423,0.1910367146353305,2.009364418676553,0.11062426143481016,0.14000740704155512
2016-07-31,0.012301165583670623,-0.33251438579032644,0.26471174564750705,-0.1754108633476882,0.08456628686460675,0.12777267595350897,0.1662543499113328,0.0416591873359083,0.17148607026591645,0.7009085437904732,0.7102690981925806,0.7941406519358944,1.4259385912467393,-2.147274713402834,1.4078610667507192,-0.3885361366023854,0.3757544120999995,0.2637418943616171,1.960251703707442,0.11985021628528762,0.13796220949825078
2016-08-31,0.010892953605858067,-0.34337333075432136,0.23175498997555322,-0.13926030902263212,0.0735708636560677,0.08449163547820171,0.20407719721313988,0.035028574594241094,0.23634932529343516,0.7538386327372605,0.738037786854737,0.860782717856097,1.3041069121136495,-2.2291094381606515,1.2133142336592035,-0.31704950244860974,0.3381979197141931,0.17719539829407913,1.9553827134748893,0.12065499437372161,0.13735875548932697
2016-09-30,0.010115038280556338,-0.33113065729521396,0.1965558764833808,-0.2462789752416548,0.05132256770708402,0.1929996332576503,0.23586195039463975,0.04312407448813164,0.3459622622183769,0.6094186591726439,0.8185986164670074,0.7091834900469928,1.2146133164592938,-2.130790019562775,0.9605805171503623,-0.5174092723684187,0.23177609478714215,0.37723350609289225,2.022334461108805,0.11005272692378858,0.14558327672524185
2016-10-31,0.012915313795572998,-0.2906900577194718,0.10638012995840083,-0.4660725639531616,-0.04568781466061066,0.4191676535006363,0.124266208174235,0.06433947660184867,0.5557238096233897,0.2909256593320728,0.8191252569756634,0.38938010098674825,1.590604058480491,-1.9353231800453163,0.5972317270536557,-1.0789150175175142,-0.2310906081453656,0.8759803243372075,2.1799596200499742,0.08867725656429931,0.164340704194902
2016-11-30,0.013153493972993797,-0.2934893480876861,0.09055729815850834,-0.5175168745474964,-0.058577600527012844,0.5118131460225624,0.11232773365213776,0.034665883108748886,0.6063458202596316,0.23503824238218807,0.7535836446810329,0.25894563036041374,1.6457674519134657,-2.233978991880683,0.5218822517991504,-1.2168134722734605,-0.31738959815199397,1.155163057569489,2.387994691936261,0.06680698331094163,0.18787164173943027
2016-12-31,0.008879668106389524,-0.2682552385596055,0.07137016453243296,-0.30212760506749015,0.07332737201228734,0.4700331574149834,0.21250222643724553,0.02820101228195956,0.6387656069897472,0.4522566856218879,0.6408210937606116,0.25942398164577823,1.2808029963839502,-2.335559899578843,0.4754492934034618,-0.7640971271610222,0.4725246106775044,1.1550922176852103,2.9797100174514926,0.031289467209756464,0.2544709266811481
2017-01-31,0.009208639854425065,-0.2681129056232441,0.07483525933134373,-0.31558122768949276,0.07118825440666202,0.48657947428080855,0.23286374197720586,0.031799475814869256,0.6350311988170606,0.4565733484277279,0.6591561283955725,0.27429129016319687,1.2252962901897875,-2.2859172129211998,0.4810421455892505,-0.7572756245173197,0.4468593090330513,1.1199573238471294,2.80848448457263,0.040214867883767984,0.2441099105138984
2017-02-28,0.010950816819849316,-0.33654821432107346,0.1134927993072887,-0.2523628411402837,0.028956072994989573,0.41398651970627187,0.13741404273201308,0.008722648000385809,0.4695961729367333,0.5405320648525305,0.8418242401799938,0.3126333173901602,1.5391474500751734,-2.866563408539107,0.7352879462865636,-0.6212685469992778,0.20182983423914194,1.032369176599251,3.2580463560280846,0.022781987629502225,0.2873546749054091
2017-03-31,0.010472298465710272,-0.3319244549717493,0.10730430931006485,-0.2539415322778613,0.02914205734991646,0.3978754396873193,0.13920761213061542,0.009289958424127994,0.4972900423081227,0.5372710429423255,0.8401565828262311,0.3294871410459246,1.5318178271115725,-2.8393049846544627,0.689689100269075,-0.6263217374861896,0.20398860608953784,0.9962668913099568,3.1927276539166924,0.024713083655124053,0.28138127640257105
2017-04-30,0.007545728624854618,-0.3175429188665616,0.013012292909547613,-0.28488346454538543,-0.014684315812420317,0.40966153931788407,0.21832917670161778,0.0061764593290187615,0.9206202541465979,0.42955308539285186,0.9073210627135222,0.24896006796974945,1.2672141904308707,-3.028230974412978,0.10080251805538279,-0.804789762069114,-0.11776676470369339,1.1842275833246767,3.8193535533229297,0.012150349668934995,0.34301402598542774
2017-05-31,0.01221032462221351,-0.324743171554201,0.05264925579369282,-0.29181989943722364,0.0019190430464850541,0.48479491095098226,0.07796300756439394,0.014703350436769371,0.7153049190644507,0.46731011225132923,0.9887784407715846,0.22090956420190602,1.844937537593941,-2.637928057232627,0.3692692665142853,-0.739121298226144,0.014218295030511679,1.258293988905918,2.9921242754205246,0.03181031415931538,0.26239352823425444
