,alpha,beta_MKT,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_MKT,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_MKT,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2020-03-25,0.0005363452880523,0.6635370149370226,0.1108479656290328,-0.1200900805280787,0.0060677324184453,0.0912872161511853,9.186776826762873e-08,0.0,5.2796220917434114e-05,8.207398214631421e-13,0.8204184795717011,5.869742662147754e-10,5.365422761909181,57.11637658392708,4.053232545932117,-7.213019652285328,0.2270418952996661,6.229944992887831,810.2952871975274,0.0,0.7036767267950137
2020-03-26,0.0005363452880523,0.6635370149370226,0.1108479656290328,-0.1200900805280787,0.0060677324184453,0.0912872161511853,9.186776826762873e-08,0.0,5.2796220917434114e-05,8.207398214631421e-13,0.8204184795717011,5.869742662147754e-10,5.365422761909181,57.11637658392708,4.053232545932117,-7.213019652285328,0.2270418952996661,6.229944992887831,810.2952871975274,0.0,0.7036767267950137
2020-03-27,0.0005363452880523,0.6635370149370226,0.1108479656290328,-0.1200900805280787,0.0060677324184453,0.0912872161511853,9.186776826762873e-08,0.0,5.2796220917434114e-05,8.207398214631421e-13,0.8204184795717011,5.869742662147754e-10,5.365422761909181,57.11637658392708,4.053232545932117,-7.213019652285328,0.2270418952996661,6.229944992887831,810.2952871975274,0.0,0.7036767267950137
2020-03-30,0.0005323289247087,0.6635094377870822,0.1134551457319722,-0.1207070030712628,0.0050318491598024,0.0927113251081858,1.1304061409424805e-07,0.0,3.3373451155514044e-05,6.202099293538545e-13,0.8506293002551074,2.831988451543342e-10,5.327218731152848,57.10517302858689,4.160275377461316,-7.252190480117791,0.1883442229116392,6.345737035539976,809.7408740391016,0.0,0.703411431480166
2020-03-31,0.0005301814748242,0.6636684134031117,0.1131479357769154,-0.1207217629279144,0.0064266844001955,0.0922887786015072,1.2644262375731469e-07,0.0,3.504117779043639e-05,6.178823384647853e-13,0.8097259121252196,3.3605345589117216e-10,5.306470363620863,57.12023042541439,4.149004760804362,-7.252682059811654,0.2408170807205934,6.318696717109711,809.4364934288387,0.0,0.7032105348514496
2020-04-01,0.0005301814748242,0.6636684134031117,0.1131479357769154,-0.1207217629279144,0.0064266844001955,0.0922887786015072,1.2644262375731469e-07,0.0,3.504117779043639e-05,6.178823384647853e-13,0.8097259121252196,3.3605345589117216e-10,5.306470363620863,57.12023042541439,4.149004760804362,-7.252682059811654,0.2408170807205934,6.318696717109711,809.4364934288387,0.0,0.7032105348514496
2020-04-02,0.0005273159996541,0.6630069090705848,0.1138326720681369,-0.1210010946869068,0.0062589074144662,0.0925163814597237,1.4676084170459822e-07,0.0,3.136039264903929e-05,5.47999239785028e-13,0.8146194753171441,3.047555831296053e-10,5.278765394897053,57.12382752819062,4.174594333194676,-7.269384730617024,0.2345071685138874,6.334122323371256,810.6987785302671,0.0,0.7034138109017001
2020-04-03,0.0005273159996541,0.6630069090705848,0.1138326720681369,-0.1210010946869068,0.0062589074144662,0.0925163814597237,1.4676084170459822e-07,0.0,3.136039264903929e-05,5.47999239785028e-13,0.8146194753171441,3.047555831296053e-10,5.278765394897053,57.12382752819062,4.174594333194676,-7.269384730617024,0.2345071685138874,6.334122323371256,810.6987785302671,0.0,0.7034138109017001
2020-04-06,0.0005267636078281,0.6628332048114194,0.1141947026308416,-0.1210781161592134,0.0060096995298003,0.0924957511079532,1.4907521024143578e-07,0.0,2.8775011006023937e-05,5.182562842161954e-13,0.8217163123541541,3.03923661363339e-10,5.27583707944679,57.216707011615135,4.194336001841219,-7.277120525589771,0.2253727979106463,6.334531471817315,814.2639044096252,0.0,0.7042075705235342
2020-04-07,0.0005267636078281,0.6628332048114194,0.1141947026308416,-0.1210781161592134,0.0060096995298003,0.0924957511079532,1.4907521024143578e-07,0.0,2.8775011006023937e-05,5.182562842161954e-13,0.8217163123541541,3.03923661363339e-10,5.27583707944679,57.216707011615135,4.194336001841219,-7.277120525589771,0.2253727979106463,6.334531471817315,814.2639044096252,0.0,0.7042075705235342
