,alpha,beta_MKT,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_MKT,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_MKT,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2019-08-27,0.002352811016982501,0.9663737336130316,0.40107003325889834,0.09536027934709829,0.048976028342613276,0.08599003298687757,0.40382840952723476,0.0018899254606010488,0.7085150182280887,0.8854740863663623,0.9556520883068153,0.8892432542912829,0.8813524730725961,4.543717895699909,0.38746756502020224,0.1486951046673065,0.0573770327515388,0.14376269012580375,14.426724084368484,0.0007912251131094198,0.8377709639029796
2019-08-28,0.0023293011773228155,1.0487991737588185,0.6149068995246738,-0.2126766407230416,-0.03748791172254129,0.10554808452284348,0.36821452141916355,4.784949928130685e-05,0.5341726317044075,0.6777873577031441,0.9629309412979895,0.8441615465688438,0.9423648087167206,6.792438720281557,0.6438297716596585,-0.42790762397641213,-0.0476531633953714,0.2017442148065621,16.95049700469468,0.0001337933529340287,0.8416928063017661
2019-08-29,0.0015115670752412068,0.8873598238567476,0.3551584406004036,-0.0059142722457889985,0.294544230476835,0.2435954871519762,0.4254880178119542,0.0001359786437966858,0.5725430341621045,0.9897922344755374,0.5745388546010137,0.6132826802840765,0.834699390791904,6.33048258250883,0.5855854214566362,-0.01315357503675177,0.5824880158641175,0.5234819092663449,18.747482580108873,0.00016133761895891294,0.8637302652972897
2019-08-30,0.0016235408274333854,1.00007230301977,0.19143511229831645,-0.005519135037711176,0.38895739636892257,-0.0060794040337588395,0.39989106060245183,4.671328729649483e-06,0.7680308577639926,0.9888712661570817,0.44849679192610836,0.9899065804870169,0.8728172583122987,7.831657679391192,0.30171945433489106,-0.014241607536658754,0.7835444148789853,-0.012916616348691765,23.14786654859666,8.885944232892835e-06,0.8669164803435705
2019-09-02,0.0021131249108881896,0.9794849152212892,0.22602878985271868,0.028895314255182547,0.3308929014498976,0.033535761013474996,0.2533172621763251,2.755535470117563e-06,0.7251023859309116,0.9410142093924434,0.5103792937832069,0.9436552886852935,1.1953070745565901,7.848388029264398,0.359350716665468,0.07543872801389802,0.6768284676962266,0.07205452205859154,23.33062953480377,4.550913404127641e-06,0.861168044718385
2019-09-03,0.0013784504834590391,1.032636464512951,0.5674479039321072,-0.20669474058214665,0.13787464178869258,0.4621475446358339,0.4406428930108883,7.26754262466936e-07,0.3567962909068476,0.5674268936710436,0.7793307023304478,0.21459844535741873,0.7936522925378168,8.443486603175643,0.9529164301398354,-0.5856581952017322,0.28564774612821237,1.29999744221137,23.275180824760874,2.5281953065786657e-06,0.8542675494548617
2019-09-04,0.001299244671273915,0.9660025343628227,0.697726773486667,-0.37491415638342407,0.24058265587063343,0.6198492674600662,0.3808222778456112,4.4271771612422565e-07,0.19765179176371866,0.24781558966389197,0.5786168968394698,0.05647814494434285,0.9049096773364118,8.802090456069656,1.3525201161403928,-1.2059691785205267,0.5686275343985263,2.079040453772028,25.48744123033942,1.4471174124065099e-06,0.8656647673058407
2019-09-05,0.0012072055978155976,0.9648556523704317,0.6617384844284324,-0.36322805849003487,0.27803529667048127,0.5990260467960254,0.36015754681076084,1.6792410314438451e-07,0.1637247318816196,0.23366978799047847,0.43288632652426173,0.03662509202813897,0.9439395566486973,9.109775784372601,1.4644099073550254,-1.240985200483112,0.8059094689050195,2.2943049560185558,27.321943247715513,4.950835234359324e-07,0.8680823334005362
2019-09-06,0.0005417316777139632,0.9253611079788034,0.4359691892601217,0.10545127740692897,0.1573839318123068,0.4891487785172586,0.7042045670314017,3.08971245340752e-06,0.40848926702317667,0.7930916567739299,0.6941793250614117,0.10681672941017671,0.38651855190317946,6.982425345498099,0.8488437019010412,0.2667201345219864,0.4003695945922797,1.7087659755945774,25.75712090505356,4.0272146101471e-07,0.854957956152781
2019-09-09,0.0005417316777139632,0.9253611079788034,0.4359691892601217,0.10545127740692897,0.1573839318123068,0.4891487785172586,0.7042045670314017,3.08971245340752e-06,0.40848926702317667,0.7930916567739299,0.6941793250614117,0.10681672941017671,0.38651855190317946,6.982425345498099,0.8488437019010412,0.2667201345219864,0.4003695945922797,1.7087659755945774,25.75712090505356,4.0272146101471e-07,0.854957956152781
