,alpha,beta_MKT,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_MKT,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_MKT,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2017-03-15,0.0005333466027579994,0.6847062793595389,-1.233433958852482,0.2082620795702222,1.030493413110264,0.03509572026705585,0.8953462307450091,0.23788130518774017,0.32815041159746644,0.7303644690626157,0.36717125696169883,0.9532502537039655,0.1372193830338197,1.3107290837868173,-1.064270179105242,0.36114811920145273,0.975094705540763,0.06111796728431774,1.9393820569042826,0.22168384794855403,0.2992251468209636
2017-03-16,0.004025158315025862,1.266585453748311,-1.0482355275189381,-0.36699116829562467,2.0596040131231512,-0.6125103331238504,0.451931008938275,0.07781983085315287,0.4841556152657347,0.5662981689992596,0.20082852980198612,0.3634537559740082,0.8042532913815905,2.1242989752875414,-0.7454714462500011,-0.6066757504676211,1.4367034378711152,-0.9832541805637679,1.67933185112815,0.272135363550962,0.23593385071678397
2017-03-17,0.003920069229115399,1.2710957218825245,-1.1411760834210398,-0.338437046981227,2.066561391016886,-0.6173250390305649,0.4243923646228712,0.05523322851874983,0.38431546707730485,0.5545432414957032,0.16447182839306804,0.321050449472248,0.8481717399861083,2.2970186066622795,-0.9279469616845432,-0.6205666887753373,1.5525549837057533,-1.06778931750533,2.340686162025997,0.1490418471685011,0.3584064805104813
2017-03-20,0.002451557680729132,1.1279453492327234,-1.136627174465335,-0.3407590983183454,1.5234537868736175,-0.5032830299490361,0.5680461661985481,0.057629025562683456,0.371045575448603,0.5396610006518779,0.20600897036384894,0.38325196933878936,0.5953788985074672,2.2150088934216634,-0.9476590805617655,-0.6406535055965651,1.3763368349959302,-0.922488356008313,2.38861572640789,0.13120221377354077,0.34814477544530587
2017-03-21,0.0021844837970374504,1.0846789530190821,-1.1407429993107936,-0.15321371581993645,1.4047428536400801,-0.17000397572124226,0.6326456596283796,0.07809752466198944,0.3986020024474889,0.7889915085763324,0.2662513874977405,0.7589723359349059,0.49472555937975626,1.9876033829289186,-0.8861373224822257,-0.2757169773494379,1.185298468091412,-0.31632079947190556,2.7375094411917438,0.08985137462771652,0.3829213941503996
2017-03-22,0.002148370320934923,1.3129284008919526,-0.8700946198172945,-0.24866337837496533,1.7629540640854597,-0.4634545099649617,0.6374580138955003,0.047174182952153164,0.501016223284567,0.6580383388952997,0.22878463245809472,0.3971285479574953,0.4876477007931511,2.2977312778951346,-0.701012895730195,-0.45766932896790774,1.2912782522748478,-0.8890256672110468,2.649422985815874,0.09675766273948357,0.3707049186094463
2017-03-23,0.0023472348765589163,1.3672485545611446,-0.7696460825778758,-0.2776743558551737,1.7744225798036597,-0.5016053812754696,0.578741171379733,0.017945451313531074,0.49541569479178693,0.5904706998375165,0.20132664705163175,0.3052754622317952,0.5738583861782608,2.8269523958581506,-0.707496395266871,-0.5559433908295631,1.367793129597228,-1.080531602703329,3.1282548264471486,0.05883528050990843,0.41500566927201665
2017-03-24,0.0010620645447509637,1.1681750918605434,-0.8187907923444625,-0.3392103968243949,1.569362260557867,-0.660606093457493,0.7588104299296196,0.016798264869004615,0.41699146270603016,0.45533695767258886,0.13148325186364077,0.1525738884780469,0.3147916539406642,2.8156371052871805,-0.8433562789377657,-0.7738368671978625,1.629495012167172,-1.5368795316125796,2.7934168617557447,0.07230881100770241,0.359156247396729
2017-03-27,0.002563629310702643,1.1123601918280437,-1.1626943507394039,-0.341038982009294,1.6837777690773024,-0.8640338234352473,0.48575100993420917,0.01930100031214496,0.24862910414915568,0.4478164662676376,0.09278541340842762,0.11489013887932029,0.7238419567717181,2.784501580711365,-1.225047947830852,-0.7900704782509375,1.858221618926326,-1.726887679490624,2.990926275598982,0.06606642454300385,0.3989091735000718
2017-03-28,0.0007878193205379097,1.1474212523433618,-0.6307069503337084,-0.11706356118896039,1.5692348632427793,-0.34695487762541255,0.8294971387274095,0.015330607028382409,0.5267340646879578,0.7936561179140431,0.1554786589239068,0.4068636089632828,0.21972601697793118,2.789642659890653,-0.6504445544642895,-0.2670022405873519,1.5079547945097822,-0.8571925244704623,3.365117977545676,0.036105015215113376,0.39649139991004734
2017-03-29,0.000230109820875119,1.0692614530429294,-0.6540816188771565,-0.0675865560833077,1.46006980041222,-0.34375220830878994,0.9465580380923645,0.013679227947214564,0.5004434042095791,0.8743949452719939,0.16596819266184656,0.3988722288682567,0.068242046116414,2.8182715337304987,-0.691688999178818,-0.16099823976488298,1.4614658831185061,-0.8701887880246936,3.6857037348098296,0.024481202472684243,0.41409596315589003
2017-03-30,-0.00022567580449864774,0.9879334157310631,-0.628795589744849,-0.2079645657217323,1.2277678434901755,-0.4856299928269706,0.9359962231690604,0.009835367584217982,0.45804751028183877,0.585746232734105,0.14029926495328446,0.20777179735106593,-0.08166068044390012,2.954880888438782,-0.7617019633970181,-0.5569954097266159,1.55706538310824,-1.3164892540420283,3.1778816019962015,0.03739892128352864,0.35252886706221154
2017-03-31,0.0008538793035457691,0.9251270123433653,-0.8389365263271387,-0.19266598379644595,1.2335535994641862,-0.5744711737509283,0.7706256598708013,0.01595971429435116,0.3176159499272536,0.6175650983919638,0.11063378533233723,0.1988303911725678,0.29726988391702536,2.739853629548879,-1.0363338717973456,-0.5106322266274894,1.703112985387425,-1.348751939754369,3.040623469064823,0.04597179640275821,0.3493845271610292
2017-04-03,0.000891269705008583,0.9269381342053067,-0.843563284176448,-0.19393624489524136,1.2393734441609083,-0.5758122438852896,0.7473410701317802,0.012131769306642688,0.2959583847043041,0.602032988109884,0.09442860038242953,0.18159690349493107,0.32814068700450666,2.851412650782637,-1.0828896260311294,-0.5327167453011348,1.785387396640428,-1.4008827154255863,3.342160783495757,0.03160802461188028,0.36930012710979765
2017-04-04,0.0011733598677872528,0.9736530228540512,-0.8216607840256474,-0.19028413683459086,1.379799169922529,-0.5763681949619702,0.6639463506240151,0.008836977407775781,0.30209231814080917,0.6023535731677487,0.07340376771503497,0.17544287461997637,0.44320007489964736,3.007486393894807,-1.0687230839171813,-0.5322421794994899,1.9250236185939757,-1.4221517422296703,3.6373442555070246,0.023544377211182313,0.3973493243655115
