,alpha,beta_MKT,beta_HML,beta_SMB,beta_WML,beta_IML,pvalue_alpha,pvalue_MKT,pvalue_HML,pvalue_SMB,pvalue_WML,pvalue_IML,tvalue_alpha,tvalue_MKT,tvalue_HML,tvalue_SMB,tvalue_WML,tvalue_IML,fvalue,f_pvalue,R_squared_adj
2013-12-17,0.00037523545920600614,1.713400905487354,0.47376372219582286,1.667951235933669,0.6788777965823888,0.6929185427094502,0.9298292242783339,0.0840207917685062,0.6691861219223123,0.17092227465487447,0.5021735242473275,0.22003859335284007,0.09087093517652883,1.9724793026103027,0.44345293045576045,1.5042756775210229,0.7027018472651834,1.3304667553922658,3.845839275794802,0.04504876606605443,0.5225712937294613
2013-12-18,-0.000760592325768206,2.526162448274518,0.21436945960757142,1.6818073723058082,1.4284482224618293,0.8305136331525552,0.8341889057420516,0.01819333854118224,0.8192019187103596,0.11305797199149484,0.15033354416492103,0.10174002785924034,-0.2172781269920924,3.0650646283896403,0.23732356684058128,1.8109466866868882,1.6150524034404872,1.8828425341446817,5.833887909011094,0.019388164845106033,0.6682282017377719
2013-12-19,-0.000760592325768206,2.526162448274518,0.21436945960757142,1.6818073723058082,1.4284482224618293,0.8305136331525552,0.8341889057420516,0.01819333854118224,0.8192019187103596,0.11305797199149484,0.15033354416492103,0.10174002785924034,-0.2172781269920924,3.0650646283896403,0.23732356684058128,1.8109466866868882,1.6150524034404872,1.8828425341446817,5.833887909011094,0.019388164845106033,0.6682282017377719
2013-12-20,0.0003221347322404685,2.7069335247816175,0.12785353148565792,1.2822508312760748,1.7246976432358812,0.8600531916120686,0.9166727180250789,0.00687466250633564,0.885727196769784,0.09609303563634096,0.04701345089390195,0.07654062206206551,0.10797726087325989,3.6107027646707452,0.14836375326979676,1.885473049208565,2.3454574864918567,2.032660713632332,6.670210952040164,0.009828159448341856,0.685618660143293
2013-12-23,0.0039607892818633115,3.038299196197048,0.9578921979872983,0.32915218311764277,1.3012422948974167,0.5573114029323277,0.24932766445390125,0.009079342097180396,0.35648665143789415,0.6460544809287814,0.17753157880363235,0.2970994271995686,1.2315445199565282,3.310315705660151,0.9719172585168574,0.4750694955281232,1.4628615839422403,1.1067633925091773,3.831833703520598,0.03880222575973024,0.5028262290043026
2013-12-26,0.0035094369922290493,2.8518924913961032,0.9106724155432314,0.3156479664419391,1.050295485220923,0.5240808710495215,0.2728904721670572,0.006611758795527701,0.36055088486957343,0.6476246985197616,0.19657910075628357,0.30447284750503817,1.1602678152061423,3.414175841082156,0.958208149221155,0.47117754975246745,1.3836194568919737,1.0824266183630435,4.233557772292851,0.02504521338581052,0.5187339061274909
2013-12-27,0.0026677619118546797,2.454835885411721,0.7646535962290683,0.5026853484792018,0.751749875033187,0.3880590947523732,0.3679949738176611,0.004776693206311467,0.4267202913849101,0.44120986145180485,0.2876655310363052,0.41131437316435526,0.9387906263750347,3.5225853088575705,0.8253312789700733,0.7989848984124324,1.117324365907923,0.8540053078072188,4.204244203025984,0.022092802606998634,0.5003313586187094
2013-12-30,0.0009316356530651958,1.864024733843921,0.03447616213796023,0.8544306396238397,0.6819938458320272,0.2966708858525345,0.7333248882547092,0.007604164910530878,0.9664408665194014,0.18144694177784382,0.34837288097556185,0.5384272427454584,0.34874271237318044,3.2020069157681355,0.042958862873634915,1.4186523057352072,0.9759099122524361,0.6332893844835059,3.516796596417915,0.03448371046435802,0.4253647316423903
2014-01-02,0.0009316356530651958,1.864024733843921,0.03447616213796023,0.8544306396238397,0.6819938458320272,0.2966708858525345,0.7333248882547092,0.007604164910530878,0.9664408665194014,0.18144694177784382,0.34837288097556185,0.5384272427454584,0.34874271237318044,3.2020069157681355,0.042958862873634915,1.4186523057352072,0.9759099122524361,0.6332893844835059,3.516796596417915,0.03448371046435802,0.4253647316423903
2014-01-03,0.0009316356530651958,1.864024733843921,0.03447616213796023,0.8544306396238397,0.6819938458320272,0.2966708858525345,0.7333248882547092,0.007604164910530878,0.9664408665194014,0.18144694177784382,0.34837288097556185,0.5384272427454584,0.34874271237318044,3.2020069157681355,0.042958862873634915,1.4186523057352072,0.9759099122524361,0.6332893844835059,3.516796596417915,0.03448371046435802,0.4253647316423903
2014-01-06,-0.0004476928555841775,1.8751698497236444,-0.5992891505440678,0.5003422450731835,0.9363808316645283,0.394200270478753,0.8905586031486932,0.020123471811722034,0.5321178391571231,0.4965387621170819,0.2865710155614697,0.5001577665376176,-0.14031921376520376,2.6470733318632833,-0.6418624825255137,0.6995450455748023,1.1112979841351085,0.6935693367132344,2.011739907420586,0.14378243013422687,0.21938355755766525
2014-01-07,0.0007534663346072464,1.615545140503381,-0.45187223840186824,0.2248617118090428,0.7776648749679171,0.2546873406602838,0.8088377665334432,0.032465485702933866,0.6369113839082752,0.746937903448053,0.3712402504115546,0.6576238896853486,0.24654619097435265,2.373637891124872,-0.48249474678965787,0.3291185874425622,0.9237979244767154,0.4528093901412968,1.728192114806663,0.19288481741290417,0.16081299033792296
2014-01-08,0.0007317598828401916,1.61658903564302,-0.4518996212332613,0.22763006033249958,0.7801542317733277,0.2579896070808643,0.8027499764103095,0.026446901891304365,0.62471384507181,0.7329087804368377,0.350612855679195,0.6360281465113794,0.2542563838797809,2.461309376723789,-0.49944193410351034,0.3476832755994784,0.9634190483554477,0.4830595735231165,1.855311110559646,0.16242155461167396,0.17615989811640698
